Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.7,25.3,.692,-0.24,0.21,5.47,44-18,13-7,63-19,48-34,100.0%,97.3%,30.5%,20.3%,57,1,0.203,bos
2,Milwaukee Bucks,55.9,26.1,.682,-0.07,0.12,3.58,43-17,13-9,64-18,48-34,100.0%,93.0%,14.9%,8.4%,56,1,0.084,mil
3,Philadelphia 76ers,51.3,30.7,.625,-0.18,0.78,3.52,39-21,12-10,59-23,43-39,99.9%,2.7%,13.1%,7.5%,51,0.9990000000000001,0.075,phi
4,Cleveland Cavaliers,51.0,31.0,.622,0.10,-1.12,5.49,39-25,12-6,57-25,43-39,100.0%,7.1%,27.0%,17.9%,51,1,0.179,cle
5,New York Knicks,47.0,35.0,.573,0.16,-0.28,2.97,36-27,11-8,54-28,39-43,98.0%,,7.9%,3.9%,47,0.98,0.039,ny
6,Brooklyn Nets,45.6,36.4,.556,0.12,0.27,1.02,34-26,12-10,54-28,37-45,92.9%,,2.5%,1.0%,46,0.929,0.01,bkn
7,Miami Heat,42.5,39.5,.518,0.00,0.80,-0.48,33-29,9-11,51-31,35-47,64.2%,58.7%,0.9%,0.3%,42,0.642,0.003,mia
8,Atlanta Hawks,41.5,40.5,.506,-0.03,0.26,-0.07,31-30,10-11,49-33,33-49,51.8%,31.4%,0.8%,0.2%,42,0.518,0.002,atl
9,Washington Wizards,39.5,42.5,.482,0.23,-0.26,0.08,28-32,11-11,47-35,31-51,26.3%,9.9%,0.5%,0.1%,40,0.263,0.001,wsh
10,Toronto Raptors,40.0,42.0,.488,0.03,0.49,0.59,30-32,10-10,48-34,33-49,32.9%,,0.9%,0.3%,40,0.32899999999999996,0.003,tor
11,Chicago Bulls,39.4,42.6,.481,0.30,-0.49,1.07,28-33,11-10,46-36,32-50,30.7%,,1.1%,0.5%,39,0.307,0.005,chi
12,Indiana Pacers,36.0,46.0,.439,0.47,-0.45,-1.93,27-35,9-11,44-38,28-54,2.8%,,,0,36,0.027999999999999997,0,ind
13,Orlando Magic,34.5,47.5,.421,0.17,0.19,-2.51,26-36,8-12,42-40,27-55,0.5%,,,0,34,0.005,0,orl
14,Detroit Pistons,21.5,60.5,.262,0.67,-0.27,-6.83,15-47,7-13,29-53,15-67,0,,,0,22,0,0,det
15,Charlotte Hornets,26.6,55.4,.324,0.23,0.63,-5.50,20-43,7-12,35-47,20-62,0,,,0,27,0,0,cha
1,Denver Nuggets,55.2,26.8,.674,-0.24,-0.47,3.88,43-19,12-8,63-19,46-36,100.0%,100.0%,30.1%,14.5%,55,1,0.145,den
2,Memphis Grizzlies,50.6,31.4,.617,-0.03,-1.27,3.97,36-23,15-8,58-24,42-40,100.0%,99.2%,29.0%,13.0%,51,1,0.13,mem
3,Sacramento Kings,46.8,35.2,.570,-0.67,0.58,1.95,35-25,12-10,55-27,38-44,99.0%,75.6%,11.9%,4.5%,47,0.99,0.045,sac
4,Phoenix Suns,43.6,38.4,.532,-0.06,0.19,1.36,33-29,11-9,52-30,35-47,88.1%,18.8%,7.8%,2.4%,44,0.8809999999999999,0.024,phx
5,Dallas Mavericks,42.7,39.3,.521,-0.10,-0.61,0.74,32-30,11-9,50-32,35-47,79.1%,0.7%,4.9%,1.3%,43,0.7909999999999999,0.013000000000000001,dal
6,LA Clippers,42.0,40.0,.512,-0.54,1.01,-0.42,33-30,9-10,49-33,34-48,63.0%,3.1%,2.2%,0.4%,42,0.63,0.004,lac
7,Golden State Warriors,41.3,40.7,.503,-0.22,0.25,-0.02,31-30,10-11,49-33,32-50,53.3%,2.3%,2.5%,0.6%,41,0.5329999999999999,0.006,gs
8,Utah Jazz,41.2,40.8,.502,-0.11,-0.10,0.49,31-31,10-10,49-33,33-49,55.9%,,3.3%,0.8%,41,0.5589999999999999,0.008,uta
9,New Orleans Pelicans,40.9,41.1,.499,0.03,-0.97,0.80,30-32,11-9,49-33,32-50,50.7%,0.1%,3.0%,0.8%,41,0.507,0.008,no
10,Oklahoma City Thunder,40.2,41.8,.490,0.07,-0.63,1.32,28-32,12-10,48-34,30-52,38.0%,,3.2%,1.0%,40,0.38,0.01,okc
11,Minnesota Timberwolves,39.7,42.3,.484,-0.31,0.45,-0.58,31-32,9-10,48-34,32-50,29.4%,,0.9%,0.2%,40,0.294,0.002,min
12,Portland Trail Blazers,39.4,42.6,.480,-0.29,0.43,-0.44,29-31,10-12,48-34,31-51,25.6%,,0.9%,0.2%,39,0.256,0.002,por
13,Los Angeles Lakers,39.1,42.9,.477,-0.10,0.03,-0.95,29-32,10-11,47-35,31-51,17.9%,0.2%,0.4%,0.1%,39,0.179,0.001,lal
14,Houston Rockets,19.4,62.6,.236,0.30,0.08,-8.35,13-47,6-16,27-55,13-69,0,,,0,19,0,0,hou
15,San Antonio Spurs,18.9,63.1,.231,0.31,0.12,-10.22,14-47,5-16,27-55,14-68,0,,,0,19,0,0,sa
