Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.4602565,8.49889935,64,85.6,74.7,61.9,41.45
Nuggets,West,4.717314655,6.280535975,57,95.7,53.15,29.85,15.9
Thunder,West,8.132715836,6.080228718,57,97.95,77.1,41.2,20.9
T-Wolves,West,7.604160156,5.66793863,56,97.6,45.1,23.2,10.55
Heat,East,1.894729538,3.554586659,46,14.4,9,5.3,1.65
76ers,East,-0.269794836,2.897553224,47,34.8,20.4,6.35,1.75
Knicks,East,3.195250124,2.42879113,50,65.2,39.1,10.15,2.9
Pelicans,West,4.321241584,2.358945752,49,2.05,1,0.35,0.05
Lakers,West,1.999107885,2.327922299,47,4.3,1.2,0.45,0.1
Bucks,East,1.665451181,1.987787298,49,35.55,15.9,4.05,0.9
Suns,West,4.127799321,1.853495802,49,2.4,0.55,0.2,0
Warriors,West,2.538920547,1.628780967,46,—,—,—,—
Clippers,West,2.062532554,1.357388406,51,32.1,7.8,1.75,0.45
Cavaliers,East,2.437470887,1.299897913,48,54.55,9.75,4.55,1.35
Mavericks,West,3.232620752,0.999250978,50,67.9,14.1,3,1
Kings,West,2.625501206,0.866647529,46,—,—,—,—
Magic,East,2.473829169,0.849644105,47,45.45,6.55,2.8,0.5
Pacers,East,2.794670725,0.509388592,47,64.45,24.6,4.9,0.55
Bulls,East,-0.337556489,-0.302862269,39,—,—,—,—
Rockets,West,-0.058672836,-1.954915637,41,—,—,—,—
Hawks,East,-3.909698747,-2.374496013,36,—,—,—,—
Nets,East,-3.647702046,-3.691822043,32,—,—,—,—
Raptors,East,-8.777489014,-4.845070959,25,—,—,—,—
Grizzlies,West,-7.791052421,-5.4509605,27,—,—,—,—
Jazz,West,-5.539457539,-5.45513874,31,—,—,—,—
Spurs,West,-2.687227681,-7.373561489,22,—,—,—,—
Wizards,East,-7.991099325,-8.084769864,15,—,—,—,—
Pistons,East,-7.329217339,-9.099248336,14,—,—,—,—
Hornets,East,-10.17452172,-9.234727598,21,—,—,—,—
Blazers,West,-10.33165534,-10.29291376,21,—,—,—,—
