Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.243034402,7.179087937,63.0512,>99.9,64.92,45.42,31.84
76ers,East,6.761993802,5.169734324,55.9692,>99.9,49.18,23.7,14.32
T-Wolves,West,6.019112423,2.332118228,58.082,>99.9,33.7,14.08,4.6
Nuggets,West,5.77052294,5.80133583,55.0562,>99.9,59.56,44.3,23.1
Pelicans,West,4.684233194,1.248418238,49.7442,97.04,20.36,7.5,2.22
Thunder,West,4.632400818,2.087416569,54.3096,99.92,28,12.38,4.18
Clippers,West,3.350169862,0.780628475,50.0162,97.44,17.94,6.68,2.02
Bucks,East,3.114735747,2.33961074,51.5992,99.44,19.98,6.82,3.1
Knicks,East,2.705833707,3.152552635,47.6724,95.52,20.4,8.24,3.8
Cavaliers,East,2.675562803,3.329678417,47.1328,94.5,19.08,8.2,3.98
Heat,East,2.603464064,2.334298934,47.3366,94.64,16.58,5.68,2.64
Warriors,West,2.408304886,1.274648832,44.2488,66.32,11.94,4.96,1.28
Lakers,West,1.09937537,1.414464875,41.189,36.64,6.28,2.7,0.72
Suns,West,1.063157996,0.856167527,42.6302,48.6,6.62,2.28,0.56
Magic,East,0.507257705,-1.397759454,45.1426,81.44,3.54,0.64,0.08
Raptors,East,0.384803169,-0.806393769,37.987,16.92,0.82,0.16,<0.1
Bulls,East,0.043694148,0.450241341,39.3558,30,2.32,0.48,0.2
Mavericks,West,0.00947951,-0.282922324,43.317,56.7,6.18,1.9,0.32
Kings,West,-0.023187869,0.566745867,44.319,65.98,9.02,3.2,0.84
Rockets,West,-0.256449214,-5.923302564,41.6968,31.32,0.4,<0.1,<0.1
Hawks,East,-0.53860326,-0.264162491,37.6576,15.08,0.82,0.18,0.06
Pacers,East,-0.599634235,-2.458425837,42.5946,57.46,1.44,0.22,0.06
Nets,East,-1.484234377,-0.021353785,37.4224,15,0.92,0.26,<0.1
Grizzlies,West,-4.02414536,-0.58599918,30.3734,<0.1,<0.1,<0.1,<0.1
Jazz,West,-5.631958204,-3.519837934,31.146,<0.1,<0.1,<0.1,<0.1
Hornets,East,-8.491471755,-7.329907703,22.0996,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.638480342,-4.267231601,19.2694,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.715658123,-8.792751566,15.1382,<0.1,<0.1,<0.1,<0.1
Spurs,West,-10.37004397,-11.29786842,16.373,<0.1,<0.1,<0.1,<0.1
Blazers,West,-11.54070756,-6.337384591,18.07,<0.1,<0.1,<0.1,<0.1
