Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,10.18354365,7.437988585,64.0594,>99.9,64.72,46.3,33.34
Thunder,West,8.247290782,3.163059953,59.1386,>99.9,36.92,18.5,6.48
76ers,East,6.121124761,5.226750766,54.9144,>99.9,48.84,22.52,12.94
T-Wolves,West,5.784643527,2.487715202,56.6534,>99.9,30.54,14.06,4.38
Clippers,West,5.530199032,1.80607541,54.0006,>99.9,25.54,9.84,3.28
Nuggets,West,5.209478293,5.750580811,54.8424,>99.9,54.52,38.08,19.2
Pelicans,West,4.264738995,1.825386698,48.729,98,18.26,7.9,1.96
Cavaliers,East,4.1643705,4.04507031,51.3804,99.88,27.36,11.98,6.36
Knicks,East,3.825100515,3.789241224,50.5286,99.58,24.2,9.82,5.04
Bucks,East,3.085087478,2.247753774,51.6336,>99.9,19.04,6.38,2.94
Suns,West,1.814449431,1.278538654,44.8304,82.02,12.92,4.78,1.24
Rockets,West,0.735293817,-5.44739009,40.851,30.14,0.36,0.08,<0.1
Pacers,East,0.599710551,-2.713852687,44.6404,85.84,2.52,0.2,<0.1
Warriors,West,0.208389116,0.672727749,39.6982,24.66,3.18,0.9,0.26
Magic,East,0.041163261,-1.06734995,43.2942,78.48,3.96,0.7,0.14
Lakers,West,0.024866425,1.517205594,40.5322,37.72,6,2.38,0.7
Mavericks,West,-0.37015816,-0.705181722,42.7538,57.34,5.04,1.34,0.26
Bulls,East,-0.373676148,0.563509565,38.9844,42.28,2.8,0.54,0.18
Kings,West,-0.687343382,0.371607075,42.9498,61.1,6.5,2.12,0.52
Heat,East,-1.046673715,0.783741441,41.6998,72.26,5.86,1.44,0.72
Raptors,East,-1.629973992,-0.701260138,33.3764,6.52,0.26,<0.1,<0.1
Nets,East,-2.02769394,-0.746600671,34.1362,9.96,0.32,<0.1,<0.1
Jazz,West,-2.497948955,-2.76250425,38.083,8.92,0.22,<0.1,<0.1
Hawks,East,-3.387575754,-1.229315623,33.2362,5.24,0.12,<0.1,<0.1
Grizzlies,West,-4.996457286,-0.489637841,32.0942,0.16,<0.1,<0.1,<0.1
Spurs,West,-7.697227562,-9.877953097,19.3418,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.030034283,-4.980164969,17.731,<0.1,<0.1,<0.1,<0.1
Blazers,West,-9.358975608,-7.347790572,21.958,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.530305056,-8.761220448,14.5398,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.13172193,-7.992940768,19.3888,<0.1,<0.1,<0.1,<0.1
