Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.85271777,8.71544472,64,87.85,71.7,61.65,44.6
Nuggets,West,4.863772466,6.509943942,57,91.7,53.3,34.6,16.9
T-Wolves,West,7.322689682,5.425178039,56,89,40.2,23.35,10.1
Thunder,West,7.039628529,4.653642488,57,70.85,50.5,23.45,9.35
Pelicans,West,5.611463588,3.729110066,49,29.15,19.45,6.95,2.7
Heat,East,1.7611541,3.495097859,46,12.15,7,4.3,1.65
Knicks,East,3.821123631,2.870115861,50,80.2,48.55,12.55,4.25
76ers,East,-1.856525576,2.760773102,47,19.8,11.95,2.4,0.85
Cavaliers,East,3.930935846,2.711340145,48,90.15,19.95,10.5,3.75
Lakers,West,1.921140251,2.364326549,47,8.3,3.25,1.5,0.3
Suns,West,4.47044758,2.147981488,49,11,3.25,1.5,0.4
Bucks,East,1.6134981,1.879081442,49,53.9,23.6,5.25,2
Warriors,West,2.58578332,1.727840778,46,—,—,—,—
Clippers,West,2.371207347,1.55572412,51,52.15,17.1,4.8,1.4
Kings,West,2.331758202,0.980312815,46,—,—,—,—
Mavericks,West,3.385105979,0.904545568,50,47.85,12.95,3.85,0.8
Pacers,East,2.678034233,0.534633141,47,46.1,15.9,2.85,0.95
Bulls,East,-0.245400191,-0.456519897,39,—,—,—,—
Magic,East,1.388283062,-0.697533859,47,9.85,1.35,0.5,0
Rockets,West,-0.039352066,-1.890419111,41,—,—,—,—
Hawks,East,-3.8179391,-2.015918953,36,—,—,—,—
Nets,East,-3.465727964,-3.686786713,32,—,—,—,—
Raptors,East,-8.590439835,-4.801740441,25,—,—,—,—
Grizzlies,West,-7.489175503,-5.403800096,27,—,—,—,—
Jazz,West,-5.600170979,-5.45280232,31,—,—,—,—
Spurs,West,-2.580532474,-7.357719158,22,—,—,—,—
Wizards,East,-8.118100195,-7.902471858,15,—,—,—,—
Pistons,East,-7.187170057,-9.102189755,14,—,—,—,—
Hornets,East,-10.18238335,-9.356619409,21,—,—,—,—
Blazers,West,-10.35567008,-10.26991005,21,—,—,—,—
