Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.33529379,9.289307429,100,100,94.65,81.45,54.6
Thunder,West,8.059804132,6.919813249,100,100,87.25,48,21
T-Wolves,West,7.596204133,6.473680611,100,100,83.75,41.7,16.6
Nuggets,West,4.392772385,5.677999632,100,100,16.25,7.2,2.7
76ers,East,-0.709080303,2.762221266,100,—,—,—,—
Lakers,West,2.347651833,2.397121508,100,—,—,—,—
Pelicans,West,4.133699767,2.331039217,100,—,—,—,—
Knicks,East,2.989788034,2.321697423,100,100,86.2,14.45,4.25
Suns,West,5.175293474,1.895977729,100,—,—,—,—
Bucks,East,1.508102288,1.581107522,100,—,—,—,—
Warriors,West,2.608318946,1.578837992,—,—,—,—,—
Mavericks,West,3.680233658,1.446662646,100,100,12.75,3.1,0.55
Heat,East,1.316944241,1.418397407,100,—,—,—,—
Magic,East,1.945953876,0.929829795,100,—,—,—,—
Cavaliers,East,1.299269115,0.843809631,100,100,5.35,1.9,0.2
Kings,West,3.007883532,0.765379551,—,—,—,—,—
Pacers,East,2.868835429,0.643100264,100,100,13.8,2.2,0.1
Clippers,West,1.025919762,0.559870226,100,—,—,—,—
Bulls,East,-0.560758306,-0.296596398,—,—,—,—,—
Rockets,West,-0.142623564,-1.951062161,—,—,—,—,—
Hawks,East,-3.758179217,-2.114446986,—,—,—,—,—
Nets,East,-3.838472019,-3.725678134,—,—,—,—,—
Raptors,East,-9.136652364,-4.890716612,—,—,—,—,—
Grizzlies,West,-8.278045726,-5.430466757,—,—,—,—,—
Jazz,West,-6.105823024,-5.557003477,—,—,—,—,—
Spurs,West,-2.769224061,-7.295899012,—,—,—,—,—
Wizards,East,-8.068049815,-8.120617555,—,—,—,—,—
Pistons,East,-7.450671557,-9.14688463,—,—,—,—,—
Hornets,East,-10.42595597,-9.308879798,—,—,—,—,—
Blazers,West,-9.169973799,-10.24372872,—,—,—,—,—
