Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.706563153,7.11515836,63.4414,>99.9,64.98,46.32,32.96
T-Wolves,West,6.446114798,2.570432124,58.5006,>99.9,33.62,15.6,5.5
Thunder,West,6.254538049,2.626036339,55.6856,>99.9,31.68,15.76,5.34
76ers,East,6.200737629,5.177027371,54.7554,99.9,48.36,21.66,13.1
Nuggets,West,5.720960116,5.710197255,54.5668,>99.9,56.24,39.68,20.56
Pelicans,West,5.186891419,2.13309332,50.6696,99.36,24.74,10.04,3.18
Clippers,West,3.982942115,1.175779899,51.4812,99.58,20.14,7.18,2.14
Knicks,East,3.114899382,3.510758771,48.3386,96.88,21.8,8.82,4.24
Cavaliers,East,2.890386102,3.624547949,48.734,97.96,23.78,9.84,5.02
Heat,East,2.81147006,2.250593004,47.813,96.32,15.38,5.64,2.1
Bucks,East,2.761041129,2.186691532,50.779,99.38,18.12,6.26,2.58
Suns,West,1.190868845,0.656127313,42.844,60.8,7.92,2.96,0.82
Magic,East,0.702351396,-1.310526648,44.9674,82.58,3.54,0.7,0.12
Mavericks,West,0.300269182,-0.372725887,43.8634,70.9,7,2.26,0.48
Lakers,West,0.120904029,1.553077297,41.0604,46.04,7.66,3,0.72
Warriors,West,0.083689481,0.644595514,39.7604,27,3.48,1.12,0.3
Raptors,East,-0.101984021,-0.453155924,37.062,15.94,0.56,0.08,<0.1
Rockets,West,-0.506024475,-5.935712657,40.2204,26.34,0.2,<0.1,<0.1
Pacers,East,-0.548210892,-2.729965826,43.289,67.38,1.5,0.28,<0.1
Bulls,East,-0.662651432,0.438552683,38.7676,29.16,1.56,0.32,0.12
Kings,West,-0.857736245,0.401906621,42.3038,54.12,6.4,2.26,0.6
Hawks,East,-1.915652165,-0.819517469,35.8708,9.48,0.3,0.06,<0.1
Jazz,West,-2.132687395,-2.708833938,39.1666,15.56,0.88,0.12,<0.1
Nets,East,-2.520559332,-0.609883013,33.9472,5.02,0.12,<0.1,<0.1
Grizzlies,West,-3.800489927,-0.342781993,32.146,0.32,<0.1,<0.1,<0.1
Wizards,East,-7.946773438,-4.509692405,19.3818,<0.1,<0.1,<0.1,<0.1
Spurs,West,-9.139245122,-10.35435323,17.8728,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.681759226,-8.963829075,14.4142,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.46883974,-7.898283925,18.6882,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.96061054,-7.456933334,19.6088,<0.1,<0.1,<0.1,<0.1
