Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.82148126,8.876657649,100,100,100,96.9,69.45,Boston Celtics,bos,1,0.6945
T-Wolves,West,7.603632157,6.647559,100,100,100,56.35,20.85,Minnesota Timberwolves,min,1,0.20850000000000002
Thunder,West,7.2405028,5.981858353,100,100,—,—,0,Oklahoma City Thunder,okc,0,0
Nuggets,West,4.8759797,5.486786035,100,100,—,—,0,Denver Nuggets,den,0,0
Mavericks,West,5.377801992,2.66023038,100,100,100,43.65,8.8,Dallas Mavericks,dal,1,0.08800000000000001
Heat,East,1.407033756,2.347966963,100,—,—,—,0,Miami Heat,mia,0,0
76ers,East,-1.072178917,2.247105695,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Lakers,West,2.149994415,2.189724922,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Pelicans,West,4.117574116,2.073019498,100,—,—,—,0,New Orleans Pelicans,no,0,0
Suns,West,5.171269703,1.596246959,100,—,—,—,0,Phoenix Suns,phx,0,0
Pacers,East,3.996261777,1.549827012,100,100,100,3.1,0.9,Indiana Pacers,ind,1,0.009000000000000001
Warriors,West,2.494066807,1.513234876,—,—,—,—,0,Golden State Warriors,gs,0,0
Bucks,East,1.650224036,1.37555787,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Cavaliers,East,1.294075897,0.751003528,100,100,—,—,0,Cleveland Cavaliers,cle,0,0
Magic,East,2.024445528,0.710985067,100,—,—,—,0,Orlando Magic,orl,0,0
Knicks,East,1.650553735,0.707223504,100,100,—,—,0,New York Knicks,ny,0,0
Kings,West,3.089814647,0.644384276,—,—,—,—,0,Sacramento Kings,sac,0,0
Clippers,West,1.059495807,0.525511923,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.799680015,-0.489255063,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,-0.022705281,-1.8841946,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.879230905,-2.519321681,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-4.002322275,-3.966634095,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.328490347,-5.016553021,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.623753191,-5.478948833,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.189226042,-5.533989494,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.842548359,-7.305820298,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.370095016,-8.136716458,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.663295406,-9.234910432,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.89815796,-9.237418752,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.495321354,-10.21067492,—,—,—,—,0,Portland Trail Blazers,por,0,0
