Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,8.463751252,7.090505101,61.7258,>99.9,62.64,41.84,30.14,Boston Celtics,bos,62,0.9990000000000001,0.3014
76ers,East,6.98679708,5.894094358,56.491,>99.9,55.28,29.8,19.62,Philadelphia 76ers,phi,56,0.9990000000000001,0.1962
Nuggets,West,6.869494713,5.441435004,55.5986,99.92,56.4,40.88,20.96,Denver Nuggets,den,56,0.9992,0.2096
T-Wolves,West,5.058018908,1.94630313,56.8956,99.94,31.86,13.84,4.12,Minnesota Timberwolves,min,57,0.9994,0.0412
Bucks,East,3.501625412,1.992635799,51.6522,99.7,17.22,5.96,2.6,Milwaukee Bucks,mil,52,0.997,0.026000000000000002
Lakers,West,3.209497675,1.750719817,46.641,78.34,16.72,7.48,2.1,Los Angeles Lakers,lal,47,0.7834,0.021
Thunder,West,3.196462018,1.214848334,51.285,96.48,20.52,8.34,2.36,Oklahoma City Thunder,okc,51,0.9648,0.0236
Clippers,West,2.959087221,0.308124227,47.7068,83.72,13.16,4.72,1.48,LA Clippers,lac,48,0.8371999999999999,0.0148
Pelicans,West,2.944392299,1.376478397,48.1534,87.38,18.2,8.2,2.4,New Orleans Pelicans,no,48,0.8737999999999999,0.024
Warriors,West,2.865012329,1.295780032,45.2816,67.48,12.76,5.14,1.4,Golden State Warriors,gs,45,0.6748000000000001,0.013999999999999999
Cavaliers,East,2.664146937,3.283790246,47.073,94.42,21.5,8.56,4.34,Cleveland Cavaliers,cle,47,0.9442,0.0434
Knicks,East,2.24184146,2.875394926,46.5906,93.24,18.36,7.3,3.4,New York Knicks,ny,47,0.9323999999999999,0.034
Suns,West,1.898345602,0.992596045,44.7262,59.82,11.06,4.58,1.1,Phoenix Suns,phx,45,0.5982,0.011000000000000001
Heat,East,1.330598939,1.701733227,44.564,82.34,10.64,3.28,1.28,Miami Heat,mia,45,0.8234,0.0128
Kings,West,1.022345848,0.981868462,45.638,68.58,12.6,4.76,1.2,Sacramento Kings,sac,46,0.6858,0.012
Nets,East,0.267770216,1.087423754,42.007,62,5.82,1.62,0.58,Brooklyn Nets,bkn,42,0.62,0.0058
Bulls,East,-0.109863009,0.50430568,38.879,29.94,2.68,0.42,0.1,Chicago Bulls,chi,39,0.2994,0.001
Magic,East,-0.13716779,-1.474221775,44.7038,79.6,3.22,0.7,0.14,Orlando Magic,orl,45,0.7959999999999999,0.0014000000000000002
Mavericks,West,-0.161076404,-0.032522194,43.8898,48.22,6.64,2.04,0.58,Dallas Mavericks,dal,44,0.48219999999999996,0.0058
Hawks,East,-0.427722542,0.507444197,38.7182,26.94,1.82,0.4,0.1,Atlanta Hawks,atl,39,0.26940000000000003,0.001
Raptors,East,-0.597402134,-1.115745449,37.9966,18.38,0.66,0.12,<0.1,Toronto Raptors,tor,38,0.1838,0.001
Rockets,West,-2.294398435,-6.404685703,39.4956,10.08,0.08,<0.1,<0.1,Houston Rockets,hou,39,0.1008,0.001
Grizzlies,West,-2.453203541,-0.264083372,30.3166,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,30,0.001,0.001
Pacers,East,-2.551503141,-3.877157358,37.047,13.46,0.16,<0.1,<0.1,Indiana Pacers,ind,37,0.1346,0.001
Jazz,West,-6.185988378,-3.295776092,27.9314,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,28,0.001,0.001
Wizards,East,-6.977244716,-3.705863273,22.117,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,22,0.001,0.001
Hornets,East,-7.088501813,-6.748478486,24.5518,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,25,0.001,0.001
Blazers,West,-10.16896424,-5.831956347,19.4762,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,19,0.001,0.001
Pistons,East,-10.3161035,-8.958371687,15.5962,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,16,0.001,0.001
Spurs,West,-10.74872958,-10.96729407,17.251,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,17,0.001,0.001
