Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.216044534,7.105139606,62.2812,>99.9,63.6,43.54,32.12
76ers,East,6.9862568,5.545584024,56.7134,>99.9,52.22,27,16.76
Nuggets,West,6.346055055,5.458023663,55.335,99.82,56.98,42,21.14
T-Wolves,West,4.336695751,1.862462928,55.6238,99.92,30.9,13.76,4.56
Bucks,East,3.94834004,2.010620165,52.429,99.66,17.92,6.2,2.92
Heat,East,3.58035394,2.263724333,48.4648,96.48,15.84,5.18,2.38
Clippers,West,3.242444314,0.448302072,48.743,92.42,15.68,5.48,1.34
Warriors,West,3.221044675,1.387127025,46.5746,82.64,16.24,6.8,2.06
Thunder,West,3.170733548,1.157498042,51.314,97.54,21.38,8.84,2.52
Pelicans,West,3.041145441,1.125294629,47.5816,86.64,17.56,7.38,1.68
Cavaliers,East,2.721095498,3.191900418,47.343,94.48,19.34,7.82,3.6
Knicks,East,2.588485275,2.949568815,47.4768,94.82,17.22,6.88,3.12
Lakers,West,2.469746505,1.634784856,45.036,71.12,16.46,6.86,2.18
Suns,West,1.255349489,0.90224529,43.0372,49.96,8.86,3.38,0.96
Kings,West,0.425478971,0.841918008,44.5156,64.5,10.72,4.14,1.16
Bulls,East,0.36350377,0.906940632,40.1076,38.72,3.46,1,0.46
Nets,East,-0.220857391,1.010497163,40.7664,46.76,4.3,1.08,0.4
Hawks,East,-0.368092376,0.487136163,39.2656,28.42,2.28,0.5,0.22
Magic,East,-0.467518132,-1.594789812,43.5932,66.44,2.94,0.68,0.18
Mavericks,West,-0.524533032,-0.342031083,42.9252,44.68,5.1,1.36,0.2
Raptors,East,-0.863532291,-0.681272948,37.0882,11.66,0.56,0.06,<0.1
Pacers,East,-1.601125702,-3.62114489,38.8288,22.56,0.32,0.06,<0.1
Rockets,West,-2.299769351,-6.365332002,38.8936,10.66,0.12,<0.1,<0.1
Grizzlies,West,-2.759810259,-0.320070732,30.6248,0.1,<0.1,<0.1,<0.1
Jazz,West,-6.500696162,-3.263286353,27.4364,<0.1,<0.1,<0.1,<0.1
Wizards,East,-7.054748438,-3.72760777,21.9302,<0.1,<0.1,<0.1,<0.1
Hornets,East,-7.701335308,-7.135675557,23.4726,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.00519627,-5.669965238,20.4852,<0.1,<0.1,<0.1,<0.1
Pistons,East,-10.5264691,-9.103911169,15.2726,<0.1,<0.1,<0.1,<0.1
Spurs,West,-11.1321823,-11.00117524,16.8406,<0.1,<0.1,<0.1,<0.1
