Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,8.765565597,7.349424151,61.5714,>99.9,64,45.5,34.18,Boston Celtics,bos,62,0.9990000000000001,0.3418
76ers,East,6.518990988,4.977308157,55.071,>99.9,45.9,21.98,13.6,Philadelphia 76ers,phi,55,0.9990000000000001,0.136
Nuggets,West,5.142821182,5.242755394,54.3518,99.92,56.08,41.02,20.14,Denver Nuggets,den,54,0.9992,0.2014
Knicks,East,4.194423947,2.981837429,50.4996,97.96,22.04,8.52,4.08,New York Knicks,ny,50,0.9795999999999999,0.0408
Cavaliers,East,3.967507112,2.974422266,48.5126,94.3,19.96,8.1,4.34,Cleveland Cavaliers,cle,49,0.943,0.0434
Heat,East,3.738610154,2.631382857,49.3348,96.4,18.26,6.32,3.38,Miami Heat,mia,49,0.9640000000000001,0.0338
T-Wolves,West,3.447810332,0.990735431,53.3372,99.44,26.68,10.8,2.84,Minnesota Timberwolves,min,53,0.9944,0.028399999999999998
Bucks,East,3.354895246,2.004142521,50.0776,97.14,16.06,6.02,2.78,Milwaukee Bucks,mil,50,0.9714,0.0278
Warriors,West,3.244308298,1.45089023,47.063,87.9,19.28,8.62,2.76,Golden State Warriors,gs,47,0.879,0.0276
Suns,West,3.009151735,0.927976129,48.191,91.14,18.56,7.96,2.06,Phoenix Suns,phx,48,0.9114,0.0206
Lakers,West,2.636724648,1.640783119,46.4224,83.76,19.98,8.88,2.66,Los Angeles Lakers,lal,46,0.8376,0.026600000000000002
Pelicans,West,2.497843562,1.297914048,46.8916,86.56,19.86,8.12,2.26,New Orleans Pelicans,no,47,0.8656,0.0226
Thunder,West,2.260459343,0.031642111,49.2756,94.02,16.16,6.22,1.28,Oklahoma City Thunder,okc,49,0.9401999999999999,0.0128
Kings,West,1.02649046,0.485561312,44.0792,65.92,11.24,4.36,1.12,Sacramento Kings,sac,44,0.6592,0.011200000000000002
Clippers,West,0.954178981,-0.523329448,41.1882,38.96,4.72,1.3,0.32,LA Clippers,lac,41,0.3896,0.0032
Hawks,East,0.725911177,0.710800295,42.2682,54.88,5.26,1.44,0.68,Atlanta Hawks,atl,42,0.5488000000000001,0.0068000000000000005
Raptors,East,0.294758306,-0.571779069,40.5394,36.6,2.26,0.68,0.2,Toronto Raptors,tor,41,0.366,0.002
Magic,East,-0.202527383,-2.078253099,44.5798,69.16,2.28,0.48,0.1,Orlando Magic,orl,45,0.6916,0.001
Bulls,East,-0.469560753,-0.556575752,36.6998,12.86,0.64,0.1,0.06,Chicago Bulls,chi,37,0.1286,6e-4
Nets,East,-0.559443337,1.019720833,40.1834,37.32,3.3,0.86,0.5,Brooklyn Nets,bkn,40,0.3732,0.005
Grizzlies,West,-0.756656137,0.504559654,35.7494,7.42,1.18,0.46,0.08,Memphis Grizzlies,mem,36,0.0742,8e-4
Mavericks,West,-1.182397571,0.262665718,41.6916,43.76,6.26,2.26,0.58,Dallas Mavericks,dal,42,0.4376,0.0058
Pacers,East,-3.612270569,-4.321134205,34.156,3.38,<0.1,<0.1,<0.1,Indiana Pacers,ind,34,0.0338,0.001
Rockets,West,-5.035547005,-7.106413216,32.8704,1.08,<0.1,<0.1,<0.1,Houston Rockets,hou,33,0.0108,0.001
Jazz,West,-5.856577362,-2.684240351,28.0566,0.12,<0.1,<0.1,<0.1,Utah Jazz,uta,28,0.0012,0.001
Wizards,East,-6.060655476,-3.092983459,24.2538,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,24,0.001,0.001
Hornets,East,-6.450218706,-5.968079657,26.6106,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,27,0.001,0.001
Pistons,East,-9.336706618,-8.030951708,18.4398,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,18,0.001,0.001
Blazers,West,-10.14294298,-6.523209154,21.7468,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,22,0.001,0.001
Spurs,West,-11.86421393,-10.18936881,16.2874,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
