Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.056488104,7.143811659,62.1342,>99.9,60.58,42.76,30.48
Thunder,West,7.966422905,3.120570507,57.7384,>99.9,34.68,17.62,6.9
T-Wolves,West,7.081716801,2.818096277,57.9652,>99.9,32.56,15.4,5.76
Clippers,West,6.205173946,2.261452892,54.98,>99.9,28.72,11.36,3.76
76ers,East,5.175112437,4.668199826,52.23,>99.9,35.82,17.4,9.32
Knicks,East,4.922512298,3.863724403,52.7572,99.94,32.42,13.76,6.98
Cavaliers,East,4.33697354,4.268758543,52.4118,>99.9,34.58,15.84,8.38
Pelicans,West,4.307872769,1.622411725,48.3492,97.72,16.1,6.38,2.02
Nuggets,West,4.231399466,5.743816377,54.3876,>99.9,53.02,36.82,19.46
Bucks,East,3.296423944,2.221771558,51.2114,99.9,17.9,5.88,2.4
Suns,West,1.913408091,1.348291236,45.3596,86.02,13.52,5.14,1.44
Rockets,West,1.060579209,-5.466966971,40.4242,27.64,0.26,<0.1,<0.1
Magic,East,0.962360028,-0.596822083,44.371,85.08,5.78,1.1,0.4
Pacers,East,0.722223666,-2.595038494,44.357,84,2.5,0.32,<0.1
Warriors,West,0.462806858,0.937014791,40.1692,31.32,4.34,1.56,0.34
Kings,West,-0.244245864,0.577013693,44.0136,76.44,9.04,2.94,0.58
Heat,East,-0.764561058,0.631569592,41.5854,72.02,6.88,1.8,0.6
Mavericks,West,-1.069598937,-0.896989462,41.776,46.06,3.14,0.96,0.26
Bulls,East,-1.170891181,0.723150188,37.8908,31.98,2.46,0.84,0.28
Lakers,West,-1.282317681,1.426659054,39.7334,29.38,4.38,1.78,0.52
Raptors,East,-1.391864764,-0.661978276,33.6148,5.6,0.28,0.08,<0.1
Nets,East,-1.567147192,-0.924035751,35.065,12.9,0.52,0.14,<0.1
Jazz,West,-2.617044651,-3.035541782,37.2948,5.4,0.24,<0.1,<0.1
Hawks,East,-3.169995039,-1.126821916,34.564,8.66,0.28,0.08,<0.1
Grizzlies,West,-5.312745987,-0.900884464,30.8398,<0.1,<0.1,<0.1,<0.1
Spurs,West,-7.877435106,-9.822025209,19.0696,<0.1,<0.1,<0.1,<0.1
Wizards,East,-7.931355701,-4.95083316,18.885,<0.1,<0.1,<0.1,<0.1
Blazers,West,-8.735535129,-7.086468543,23.7118,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.922020579,-8.784673276,15.1754,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.83890062,-8.243176472,17.9346,<0.1,<0.1,<0.1,<0.1
