Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.62820167,8.882311446,100,100,91.25,77.8,54.35,Boston Celtics,bos,1,0.5435
Thunder,West,7.658808601,6.476798824,100,100,50.35,28.7,12.85,Oklahoma City Thunder,okc,1,0.1285
Nuggets,West,5.086657461,6.075731464,100,100,31.45,18.3,7.45,Denver Nuggets,den,1,0.0745
T-Wolves,West,6.868896657,5.859361266,100,100,68.55,39.45,16.05,Minnesota Timberwolves,min,1,0.1605
76ers,East,-0.707298915,2.685230296,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Lakers,West,2.39216584,2.383841202,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Pelicans,West,4.215092207,2.265490379,100,—,—,—,0,New Orleans Pelicans,no,0,0
Knicks,East,2.835525664,2.259201838,100,100,74.3,15.2,4.45,New York Knicks,ny,1,0.044500000000000005
Suns,West,5.428233894,1.872002355,100,—,—,—,0,Phoenix Suns,phx,0,0
Mavericks,West,4.265799768,1.867735631,100,100,49.65,13.55,3.25,Dallas Mavericks,dal,1,0.0325
Bucks,East,1.518578747,1.547289183,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Warriors,West,2.478114524,1.534814693,—,—,—,—,0,Golden State Warriors,gs,0,0
Heat,East,1.437323927,1.442531315,100,—,—,—,0,Miami Heat,mia,0,0
Cavaliers,East,1.487039066,1.267507227,100,100,8.75,4,1.1,Cleveland Cavaliers,cle,1,0.011000000000000001
Magic,East,2.127617332,0.907275997,100,—,—,—,0,Orlando Magic,orl,0,0
Kings,West,3.156693458,0.746319113,—,—,—,—,0,Sacramento Kings,sac,0,0
Pacers,East,2.870683261,0.660291468,100,100,25.7,3,0.5,Indiana Pacers,ind,1,0.005
Clippers,West,1.05957415,0.552053009,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.73372064,-0.331870412,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,0.014298344,-1.977766111,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.826149245,-2.230951995,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.951721999,-3.83186596,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.340443045,-4.910886785,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.408498747,-5.474343281,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.051077486,-5.543952033,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.761200501,-7.374153112,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.128659367,-8.149755388,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.507662822,-9.181939008,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.54296929,-9.331602554,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.138469349,-10.28762352,—,—,—,—,0,Portland Trail Blazers,por,0,0
