Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.614026719,7.289281531,63.4144,>99.9,63.02,45.28,32.98,Boston Celtics,bos,63,0.9990000000000001,0.3298
Thunder,West,7.889957641,3.124250303,57.6384,>99.9,36.44,18.16,6.26,Oklahoma City Thunder,okc,58,0.9990000000000001,0.0626
T-Wolves,West,7.165116212,2.824247617,58.0254,>99.9,34.08,16.52,5.7,Minnesota Timberwolves,min,58,0.9990000000000001,0.057
Clippers,West,6.218477928,2.269189021,54.9464,>99.9,27.76,11.3,3.62,LA Clippers,lac,55,0.9990000000000001,0.0362
76ers,East,5.262618446,4.721424882,52.092,99.86,37.84,18.58,10.36,Philadelphia 76ers,phi,52,0.9986,0.1036
Knicks,East,5.077040193,3.819279132,52.5804,99.94,31.46,13.26,6.3,New York Knicks,ny,53,0.9994,0.063
Nuggets,West,4.17754587,5.744231343,54.4042,>99.9,54.1,36.8,19.32,Denver Nuggets,den,54,0.9990000000000001,0.1932
Pelicans,West,4.165634576,1.627073699,48.2622,97.86,15.9,6.26,1.82,New Orleans Pelicans,no,48,0.9786,0.0182
Cavaliers,East,4.038099776,4.178071178,51.8522,99.92,32.1,13.84,7.32,Cleveland Cavaliers,cle,52,0.9992,0.0732
Bucks,East,3.590206427,2.223214508,51.3762,99.78,18.84,5.84,2.5,Milwaukee Bucks,mil,51,0.9978,0.025
Suns,West,2.228203846,1.33967078,45.7216,88.46,12.66,4.78,1.48,Phoenix Suns,phx,46,0.8845999999999999,0.0148
Rockets,West,1.111367036,-5.465805051,40.518,31.42,0.44,<0.1,<0.1,Houston Rockets,hou,41,0.31420000000000003,0.001
Pacers,East,0.841761646,-2.651272814,44.904,85.88,2.54,0.18,0.06,Indiana Pacers,ind,45,0.8588,6e-4
Magic,East,0.83837368,-0.606276821,44.2726,83.98,5.54,0.94,0.2,Orlando Magic,orl,44,0.8398,0.002
Warriors,West,0.127648846,0.925484409,39.7672,29.08,3.24,1.06,0.34,Golden State Warriors,gs,40,0.2908,0.0034000000000000002
Kings,West,-0.279966759,0.569223928,43.9722,77.22,8.52,2.68,0.72,Sacramento Kings,sac,44,0.7722,0.0072
Heat,East,-0.914519037,0.638417533,41.462,70.46,5.94,1.34,0.38,Miami Heat,mia,41,0.7045999999999999,0.0038
Bulls,East,-0.948871248,0.731033959,38.1062,33.56,2.18,0.58,0.14,Chicago Bulls,chi,38,0.3356,0.0014000000000000002
Mavericks,West,-1.07992434,-0.890412749,41.7386,46.1,3.72,1.06,0.1,Dallas Mavericks,dal,42,0.461,0.001
Raptors,East,-1.415810989,-0.603747727,33.4782,6.56,0.18,0.08,<0.1,Toronto Raptors,tor,33,0.06559999999999999,0.001
Lakers,West,-1.442063262,1.313164188,38.7806,22.66,2.94,1.24,0.34,Los Angeles Lakers,lal,39,0.2266,0.0034000000000000002
Nets,East,-1.675113537,-0.922039594,34.8832,12.2,0.26,0.06,<0.1,Brooklyn Nets,bkn,35,0.122,0.001
Jazz,West,-2.70138185,-2.93882555,37.6146,7.04,0.18,0.08,<0.1,Utah Jazz,uta,38,0.0704,0.001
Hawks,East,-3.25111354,-1.111647509,34.431,7.86,0.1,<0.1,<0.1,Atlanta Hawks,atl,34,0.0786,0.001
Grizzlies,West,-5.296418447,-0.800721359,31.2086,0.18,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,31,0.0018,0.001
Wizards,East,-7.773899068,-4.95030298,18.932,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,19,0.001,0.001
Spurs,West,-8.075246374,-9.813439598,18.9266,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,19,0.001,0.001
Blazers,West,-8.88767294,-7.080193105,23.6736,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,24,0.001,0.001
Pistons,East,-8.975933232,-8.852062905,15.1144,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Hornets,East,-10.88804126,-8.241454414,17.903,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,18,0.001,0.001
