Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.28489826,8.551606489,63.915,100,71.7,59.9,45.6,Boston Celtics,bos,64,1,0.456
T-Wolves,West,6.937827498,4.717511775,56.41,100,37.7,19.4,7.2,Minnesota Timberwolves,min,56,1,0.07200000000000001
Pelicans,West,6.780423344,4.207043046,49.295,99.5,23.7,11.8,4.8,New Orleans Pelicans,no,49,0.995,0.048
Thunder,West,6.065940458,4.134957452,56.21,100,26.5,13.1,5,Oklahoma City Thunder,okc,56,1,0.05
Suns,West,5.22855914,2.854242747,47.943,82.4,11.3,4.5,1.3,Phoenix Suns,phx,48,0.8240000000000001,0.013000000000000001
Nuggets,West,4.870710925,6.473257455,57.525,100,55.3,35.3,16.1,Denver Nuggets,den,58,1,0.161
Mavericks,West,4.773234004,1.643954537,51.278,100,15.3,5.8,1.6,Dallas Mavericks,dal,51,1,0.016
Knicks,East,3.89333551,3.059379382,49.472,100,29,8.5,3.2,New York Knicks,ny,49,1,0.032
Cavaliers,East,3.595821036,2.740029368,48.472,99.9,17.8,7.8,3.3,Cleveland Cavaliers,cle,48,0.9990000000000001,0.033
Clippers,West,3.57014707,1.872254572,52.462,100,16.4,5.3,1.3,LA Clippers,lac,52,1,0.013000000000000001
Pacers,East,3.21337954,-0.175056167,47.132,97.2,6.7,1.5,0.3,Indiana Pacers,ind,47,0.972,0.003
Bucks,East,2.964160233,2.726634064,49.868,100,28.1,8.1,3.1,Milwaukee Bucks,mil,50,1,0.031
Warriors,West,2.441523877,2.205679633,46.175,35.9,5.5,1.8,0.6,Golden State Warriors,gs,46,0.359,0.006
Kings,West,1.533363672,0.588377423,46.305,56.4,4.5,1.6,0.3,Sacramento Kings,sac,46,0.564,0.003
Magic,East,1.354408173,-0.05610465,47.051,94.9,6.3,1.2,0.4,Orlando Magic,orl,47,0.9490000000000001,0.004
Heat,East,1.187897795,3.18686908,45.584,85.4,20.8,7.3,3,Miami Heat,mia,46,0.8540000000000001,0.03
Lakers,West,0.975691904,2.090470214,45.981,25.8,3.8,1.4,0.2,Los Angeles Lakers,lal,46,0.258,0.002
Rockets,West,-0.5234367,-2.421596947,40.018,0,—,—,0,Houston Rockets,hou,40,0,0
Bulls,East,-0.766409857,-0.434020913,39.008,21.2,0.3,0,0,Chicago Bulls,chi,39,0.212,0
76ers,East,-1.80375754,3.042670452,46.09,86.8,18.9,5.6,2.7,Philadelphia 76ers,phi,46,0.868,0.027000000000000003
Hawks,East,-3.106564766,-1.191429948,36.471,14.6,0.4,0.1,0,Atlanta Hawks,atl,36,0.146,0
Spurs,West,-4.121140176,-8.041090834,20.928,0,—,—,0,San Antonio Spurs,sa,21,0,0
Nets,East,-4.431689252,-3.550438434,32.564,0,—,—,0,Brooklyn Nets,bkn,33,0,0
Jazz,West,-4.644043147,-5.529253665,30.47,0,—,—,0,Utah Jazz,uta,30,0,0
Pistons,East,-7.257564712,-9.163878311,13.494,0,—,—,0,Detroit Pistons,det,13,0,0
Raptors,East,-7.871254959,-4.532081516,25.416,0,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.989255967,-5.062987259,27.485,0,—,—,0,Memphis Grizzlies,mem,27,0,0
Wizards,East,-8.079274684,-7.893495292,15.361,0,—,—,0,Washington Wizards,wsh,15,0,0
Blazers,West,-9.338562246,-10.05640079,21.472,0,—,—,0,Portland Trail Blazers,por,21,0,0
Hornets,East,-10.52263623,-9.363692278,20.145,0,—,—,0,Charlotte Hornets,cha,20,0,0
