Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.82148126,8.876657649,100,100,100,96.9,69.45
T-Wolves,West,7.603632157,6.647559,100,100,100,56.35,20.85
Thunder,West,7.2405028,5.981858353,100,100,—,—,—
Nuggets,West,4.8759797,5.486786035,100,100,—,—,—
Mavericks,West,5.377801992,2.66023038,100,100,100,43.65,8.8
Heat,East,1.407033756,2.347966963,100,—,—,—,—
76ers,East,-1.072178917,2.247105695,100,—,—,—,—
Lakers,West,2.149994415,2.189724922,100,—,—,—,—
Pelicans,West,4.117574116,2.073019498,100,—,—,—,—
Suns,West,5.171269703,1.596246959,100,—,—,—,—
Pacers,East,3.996261777,1.549827012,100,100,100,3.1,0.9
Warriors,West,2.494066807,1.513234876,—,—,—,—,—
Bucks,East,1.650224036,1.37555787,100,—,—,—,—
Cavaliers,East,1.294075897,0.751003528,100,100,—,—,—
Magic,East,2.024445528,0.710985067,100,—,—,—,—
Knicks,East,1.650553735,0.707223504,100,100,—,—,—
Kings,West,3.089814647,0.644384276,—,—,—,—,—
Clippers,West,1.059495807,0.525511923,100,—,—,—,—
Bulls,East,-0.799680015,-0.489255063,—,—,—,—,—
Rockets,West,-0.022705281,-1.8841946,—,—,—,—,—
Hawks,East,-3.879230905,-2.519321681,—,—,—,—,—
Nets,East,-4.002322275,-3.966634095,—,—,—,—,—
Raptors,East,-9.328490347,-5.016553021,—,—,—,—,—
Grizzlies,West,-8.623753191,-5.478948833,—,—,—,—,—
Jazz,West,-6.189226042,-5.533989494,—,—,—,—,—
Spurs,West,-2.842548359,-7.305820298,—,—,—,—,—
Wizards,East,-8.370095016,-8.136716458,—,—,—,—,—
Pistons,East,-7.663295406,-9.234910432,—,—,—,—,—
Hornets,East,-10.89815796,-9.237418752,—,—,—,—,—
Blazers,West,-9.495321354,-10.21067492,—,—,—,—,—
