Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.80543067,8.871451979,100,100,100,95.8,74.35
T-Wolves,West,7.472050539,6.440565313,100,100,100,30.15,10.7
Thunder,West,7.269139627,5.993460991,100,100,—,—,—
Nuggets,West,4.854998861,5.44505936,100,100,—,—,—
Mavericks,West,5.680632406,2.918434389,100,100,100,69.85,13.75
Heat,East,1.418910138,2.344021325,100,—,—,—,—
76ers,East,-1.071720699,2.244744453,100,—,—,—,—
Lakers,West,2.146482638,2.175267664,100,—,—,—,—
Pelicans,West,4.125330161,2.069828959,100,—,—,—,—
Suns,West,5.174758299,1.575534456,100,—,—,—,—
Pacers,East,4.001991822,1.545923385,100,100,100,4.2,1.2
Warriors,West,2.489024845,1.5087008,—,—,—,—,—
Bucks,East,1.650600149,1.370841178,100,—,—,—,—
Cavaliers,East,1.268410908,0.747779974,100,100,—,—,—
Magic,East,2.007147778,0.705423894,100,—,—,—,—
Knicks,East,1.653041887,0.70251408,100,100,—,—,—
Kings,West,2.988204541,0.640996838,—,—,—,—,—
Clippers,West,1.076676665,0.538676073,100,—,—,—,—
Bulls,East,-0.819456419,-0.494809534,—,—,—,—,—
Rockets,West,-0.032478232,-1.889301149,—,—,—,—,—
Hawks,East,-3.884971515,-2.56109136,—,—,—,—,—
Nets,East,-4.074145742,-3.974294867,—,—,—,—,—
Raptors,East,-9.345122756,-5.023618445,—,—,—,—,—
Grizzlies,West,-8.645012339,-5.510388973,—,—,—,—,—
Jazz,West,-6.187130504,-5.540925538,—,—,—,—,—
Spurs,West,-2.847395449,-7.313267104,—,—,—,—,—
Wizards,East,-8.384524749,-8.145436938,—,—,—,—,—
Hornets,East,-10.91027983,-9.243918379,—,—,—,—,—
Pistons,East,-7.669990164,-9.244291771,—,—,—,—,—
Blazers,West,-9.505545919,-10.22097893,—,—,—,—,—
