Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.85271777,8.71544472,64,87.85,71.7,61.65,44.6,Boston Celtics,bos,64,1,0.446
Nuggets,West,4.863772466,6.509943942,57,91.7,53.3,34.6,16.9,Denver Nuggets,den,57,1,0.16899999999999998
T-Wolves,West,7.322689682,5.425178039,56,89,40.2,23.35,10.1,Minnesota Timberwolves,min,56,1,0.10099999999999999
Thunder,West,7.039628529,4.653642488,57,70.85,50.5,23.45,9.35,Oklahoma City Thunder,okc,57,1,0.0935
Pelicans,West,5.611463588,3.729110066,49,29.15,19.45,6.95,2.7,New Orleans Pelicans,no,49,1,0.027000000000000003
Heat,East,1.7611541,3.495097859,46,12.15,7,4.3,1.65,Miami Heat,mia,46,1,0.0165
Knicks,East,3.821123631,2.870115861,50,80.2,48.55,12.55,4.25,New York Knicks,ny,50,1,0.0425
76ers,East,-1.856525576,2.760773102,47,19.8,11.95,2.4,0.85,Philadelphia 76ers,phi,47,1,0.0085
Cavaliers,East,3.930935846,2.711340145,48,90.15,19.95,10.5,3.75,Cleveland Cavaliers,cle,48,1,0.0375
Lakers,West,1.921140251,2.364326549,47,8.3,3.25,1.5,0.3,Los Angeles Lakers,lal,47,1,0.003
Suns,West,4.47044758,2.147981488,49,11,3.25,1.5,0.4,Phoenix Suns,phx,49,1,0.004
Bucks,East,1.6134981,1.879081442,49,53.9,23.6,5.25,2,Milwaukee Bucks,mil,49,1,0.02
Warriors,West,2.58578332,1.727840778,46,—,—,—,0,Golden State Warriors,gs,46,0,0
Clippers,West,2.371207347,1.55572412,51,52.15,17.1,4.8,1.4,LA Clippers,lac,51,1,0.013999999999999999
Kings,West,2.331758202,0.980312815,46,—,—,—,0,Sacramento Kings,sac,46,0,0
Mavericks,West,3.385105979,0.904545568,50,47.85,12.95,3.85,0.8,Dallas Mavericks,dal,50,1,0.008
Pacers,East,2.678034233,0.534633141,47,46.1,15.9,2.85,0.95,Indiana Pacers,ind,47,1,0.0095
Bulls,East,-0.245400191,-0.456519897,39,—,—,—,0,Chicago Bulls,chi,39,0,0
Magic,East,1.388283062,-0.697533859,47,9.85,1.35,0.5,0,Orlando Magic,orl,47,1,0
Rockets,West,-0.039352066,-1.890419111,41,—,—,—,0,Houston Rockets,hou,41,0,0
Hawks,East,-3.8179391,-2.015918953,36,—,—,—,0,Atlanta Hawks,atl,36,0,0
Nets,East,-3.465727964,-3.686786713,32,—,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.590439835,-4.801740441,25,—,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.489175503,-5.403800096,27,—,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-5.600170979,-5.45280232,31,—,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.580532474,-7.357719158,22,—,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-8.118100195,-7.902471858,15,—,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.187170057,-9.102189755,14,—,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.18238335,-9.356619409,21,—,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.35567008,-10.26991005,21,—,—,—,0,Portland Trail Blazers,por,21,0,0
