Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,11.48140655,8.568308745,64,100,70.65,59.85,42.8
Nuggets,West,4.841580517,6.535594246,57,100,48.45,32.15,17.75
T-Wolves,West,6.382067363,4.744156108,56,100,27.35,16.6,7.6
Thunder,West,7.131225364,4.641149846,57,100,45.15,21.3,8.2
Pelicans,West,6.358193754,3.712572005,49,60.1,15.35,6.85,2.8
Heat,East,1.656625107,3.409000795,46,64,7.5,3.9,1.95
76ers,East,-1.421982413,3.001654572,47,100,27.75,7.15,2.9
Suns,West,5.64961069,2.924808364,49,100,14.8,7.5,2.1
Knicks,East,4.060721039,2.82885967,50,100,30.4,8.85,2.95
Cavaliers,East,3.167728138,2.319272793,48,100,15.9,7.6,2.7
Lakers,West,1.606123947,2.303383941,47,100,9.4,4.45,1.05
Bucks,East,1.798173827,2.249644118,49,100,28.9,7.9,3.1
Warriors,West,2.199446408,1.836022995,46,—,—,—,—
Clippers,West,2.970721506,1.809222306,51,100,20.4,5.95,1.6
Kings,West,2.689770793,1.242032529,46,39.9,5,1.3,0.4
Mavericks,West,3.5727429,1.039623731,50,100,14.1,3.9,1.05
Pacers,East,3.229669117,0.254219861,47,100,12.95,2.6,0.5
Bulls,East,-0.341237835,0.18264563,39,36,1.5,0.6,0.15
Magic,East,1.479286547,-0.058050483,47,100,4.45,1.55,0.4
Hawks,East,-4.101120208,-1.969505978,36,—,—,—,—
Rockets,West,-0.389500165,-1.985073341,41,—,—,—,—
Nets,East,-3.876668755,-3.649585885,32,—,—,—,—
Raptors,East,-8.655720628,-4.757738274,25,—,—,—,—
Grizzlies,West,-7.829396316,-5.349428782,27,—,—,—,—
Jazz,West,-4.801335097,-5.48918615,31,—,—,—,—
Spurs,West,-2.588520417,-7.535168261,22,—,—,—,—
Wizards,East,-8.286034108,-7.92923488,15,—,—,—,—
Pistons,East,-7.336436851,-9.099304825,14,—,—,—,—
Hornets,East,-10.46068025,-9.154285869,21,—,—,—,—
Blazers,West,-10.01622055,-10.26919431,21,—,—,—,—
