Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.323666579,7.2529321,61.956,>99.9,62.8,45.6,33.14,Boston Celtics,bos,62,0.9990000000000001,0.33140000000000003
76ers,East,5.746986975,4.480362099,53.2736,99.76,37.8,17.12,9.68,Philadelphia 76ers,phi,53,0.9976,0.0968
Nuggets,West,5.298597448,5.447219161,54.169,99.88,58.1,43.66,23.36,Denver Nuggets,den,54,0.9987999999999999,0.2336
Cavaliers,East,5.272046621,3.114219465,49.8018,98.32,23.1,9.52,4.46,Cleveland Cavaliers,cle,50,0.9832,0.0446
Heat,East,4.169395831,2.67499855,50.255,98.02,20.28,7.88,3.88,Miami Heat,mia,50,0.9802,0.0388
Knicks,East,4.113542551,3.064272776,49.062,97.4,21.54,8.9,4.54,New York Knicks,ny,49,0.9740000000000001,0.0454
Bucks,East,4.035549085,2.533186014,49.8888,97.74,19.36,6.98,3.24,Milwaukee Bucks,mil,50,0.9773999999999999,0.032400000000000005
Warriors,West,3.5741534,1.953843834,47.198,92.62,26.26,12.44,4.3,Golden State Warriors,gs,47,0.9262,0.043
Lakers,West,2.863579357,1.668864034,46.8166,88.84,23.72,10.56,3.34,Los Angeles Lakers,lal,47,0.8884000000000001,0.0334
Suns,West,2.48635091,0.67190253,45.652,86.48,17.28,6.96,2.02,Phoenix Suns,phx,46,0.8648,0.0202
T-Wolves,West,2.101092015,-0.113094096,48.07,92.54,15.84,5.1,1.14,Minnesota Timberwolves,min,48,0.9254000000000001,0.011399999999999999
Bulls,East,1.10989286,-1.069863192,38.764,35.74,1.6,0.24,<0.1,Chicago Bulls,chi,39,0.3574,0.001
Clippers,West,1.060948403,-0.819731855,40.437,45.02,5.5,1.72,0.3,LA Clippers,lac,40,0.45020000000000004,0.003
Thunder,West,1.03996977,-1.029961896,44.8912,80.38,10.48,2.78,0.46,Oklahoma City Thunder,okc,45,0.8038,0.0046
Raptors,East,1.010645089,-0.391294193,40.8204,51.7,3.48,0.96,0.38,Toronto Raptors,tor,41,0.517,0.0038
Kings,West,0.96622575,0.47959593,43.2214,67.24,12.4,4.38,1.3,Sacramento Kings,sac,43,0.6724,0.013000000000000001
Hawks,East,0.95851641,1.050712657,41.8024,63.42,6.34,1.9,0.74,Atlanta Hawks,atl,42,0.6342,0.0074
Grizzlies,West,0.347220523,1.562272162,37.8464,26.28,5.44,2.1,0.7,Memphis Grizzlies,mem,38,0.26280000000000003,0.006999999999999999
Mavericks,West,-0.069811678,1.216613639,43.2562,72.02,16.36,6.86,1.76,Dallas Mavericks,dal,43,0.7202,0.0176
Pelicans,West,-0.338367565,0.567410069,40.6874,47.68,8.62,3.44,0.86,New Orleans Pelicans,no,41,0.4768,0.0086
Nets,East,-1.142276902,1.242138061,38.1068,31.84,3.3,0.86,0.36,Brooklyn Nets,bkn,38,0.3184,0.0036
Magic,East,-1.716086625,-3.365290527,37.4938,21.54,0.38,<0.1,<0.1,Orlando Magic,orl,37,0.21539999999999998,0.001
Pacers,East,-4.16797075,-4.384233714,33.5482,4.18,<0.1,<0.1,<0.1,Indiana Pacers,ind,34,0.0418,0.001
Jazz,West,-4.190805011,-2.399284822,30.9054,0.96,<0.1,<0.1,<0.1,Utah Jazz,uta,31,0.0096,0.001
Wizards,East,-4.426278459,-2.862960251,27.9982,0.3,<0.1,<0.1,<0.1,Washington Wizards,wsh,28,0.003,0.001
Hornets,East,-6.739411786,-5.782220314,24.394,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,24,0.001,0.001
Rockets,West,-7.359363954,-7.98132554,27.9862,0.06,<0.1,<0.1,<0.1,Houston Rockets,hou,28,6e-4,0.001
Pistons,East,-8.453731575,-7.467009975,20.869,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,21,0.001,0.001
Blazers,West,-9.789542374,-6.961383959,20.7038,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,21,0.001,0.001
Spurs,West,-12.83243309,-9.912673105,16.1254,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
