Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.529328819,7.144700015,62.6006,>99.9,64.72,44.08,31.04,Boston Celtics,bos,63,0.9990000000000001,0.3104
Thunder,West,6.808507116,2.817154393,57.1792,>99.9,34.06,16.24,5.78,Oklahoma City Thunder,okc,57,0.9990000000000001,0.057800000000000004
76ers,East,6.169755927,5.406516615,55.2914,>99.9,50.88,24.72,14.76,Philadelphia 76ers,phi,55,0.9990000000000001,0.1476
T-Wolves,West,6.014236433,2.770753175,57.6214,>99.9,34.8,16.72,6.4,Minnesota Timberwolves,min,58,0.9990000000000001,0.064
Nuggets,West,5.893450514,5.766509836,55.3602,>99.9,55.84,39.92,20.88,Denver Nuggets,den,55,0.9990000000000001,0.20879999999999999
Pelicans,West,4.980530353,2.067805598,49.9252,99.14,23.54,9.58,3,New Orleans Pelicans,no,50,0.9914000000000001,0.03
Clippers,West,4.11985785,1.197142922,51.7074,99.78,20.3,7.08,1.78,LA Clippers,lac,52,0.9978,0.0178
Cavaliers,East,3.354413488,3.743673634,49.8776,98.92,24.2,10.38,5.04,Cleveland Cavaliers,cle,50,0.9892,0.0504
Knicks,East,3.077678986,3.500921821,48.8864,98.12,21.4,8.92,4.12,New York Knicks,ny,49,0.9812000000000001,0.0412
Heat,East,2.710253392,1.970164613,47.0932,94.92,12.62,4.24,1.72,Miami Heat,mia,47,0.9492,0.0172
Bucks,East,2.706980206,2.402285019,50.961,99.52,17.72,6.08,2.7,Milwaukee Bucks,mil,51,0.9952,0.027000000000000003
Suns,West,1.3192543,0.893822369,43.6504,72.44,9.62,3.36,0.98,Phoenix Suns,phx,44,0.7243999999999999,0.0098
Mavericks,West,0.40944511,-0.443976777,44.0086,73.46,6.34,1.86,0.28,Dallas Mavericks,dal,44,0.7345999999999999,0.0028000000000000004
Magic,East,0.188199372,-1.393413727,43.9982,75.4,3.3,0.68,0.12,Orlando Magic,orl,44,0.754,0.0012
Warriors,West,-0.154983172,0.436251922,39.5226,27.28,3.46,1.4,0.3,Golden State Warriors,gs,40,0.2728,0.003
Lakers,West,-0.420157029,1.395924224,39.8638,33.98,5.42,2.1,0.48,Los Angeles Lakers,lal,40,0.3398,0.0048
Rockets,West,-0.446297606,-5.795837733,40.531,31.24,0.5,0.06,<0.1,Houston Rockets,hou,41,0.3124,0.001
Pacers,East,-0.464381417,-2.748947309,43.2606,67.78,1.6,0.12,<0.1,Indiana Pacers,ind,43,0.6778,0.001
Bulls,East,-0.708985734,0.575022001,39.6456,38.16,2.4,0.5,0.1,Chicago Bulls,chi,40,0.38159999999999994,0.001
Kings,West,-0.920921763,0.267182928,41.794,51.34,5.66,1.62,0.44,Sacramento Kings,sac,42,0.5134000000000001,0.0044
Raptors,East,-0.978411199,-0.688181157,35.0144,8.08,0.28,0.1,<0.1,Toronto Raptors,tor,35,0.0808,0.001
Nets,East,-1.986031894,-0.426307979,35.2578,10.24,0.58,0.08,<0.1,Brooklyn Nets,bkn,35,0.1024,0.001
Jazz,West,-2.343471104,-2.709518509,38.1674,11.34,0.46,0.06,<0.1,Utah Jazz,uta,38,0.1134,0.001
Hawks,East,-2.466280565,-0.774008934,35.5236,8.9,0.3,0.1,<0.1,Atlanta Hawks,atl,36,0.08900000000000001,0.001
Grizzlies,West,-4.529060906,-0.703885282,30.8188,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,31,0.001,0.001
Wizards,East,-7.517860429,-4.757225304,19.0246,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,19,0.001,0.001
Spurs,West,-8.301881104,-10.21969414,18.7718,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,19,0.001,0.001
Pistons,East,-9.715239612,-8.915248732,14.0804,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,14,0.001,0.001
Hornets,East,-9.918300879,-7.877825472,19.4834,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,19,0.001,0.001
Blazers,West,-10.16849621,-7.402282841,21.0794,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,21,0.001,0.001
