Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,11.74679981,8.058704976,65.3616,>99.9,69.66,53.42,38.56
Thunder,West,7.874599149,4.294482832,57.0938,>99.9,38.7,21.02,8.96
Pelicans,West,7.202537602,3.096144965,51.1106,99.78,22.8,10.34,3.46
T-Wolves,West,6.52302823,3.741125242,56.1868,>99.9,34.16,16.8,6.78
Cavaliers,East,6.208394204,4.435670438,52.9072,>99.9,42.8,16.44,8.08
Clippers,West,5.070312198,2.268027103,52.8854,99.94,20.26,7.62,2.3
Bucks,East,4.334649312,2.885565532,51.6954,>99.9,25.86,8.4,3.4
Nuggets,West,4.247716573,5.835382839,56.2734,>99.9,50.5,32.44,16.84
Knicks,East,2.648708369,3.1430312,47.9076,99.18,19.8,8.56,3.68
Suns,West,2.161260261,2.446511159,46.0166,74.78,11.8,4.92,1.58
Pacers,East,1.949152718,-1.782274834,45.3108,88.7,3.5,0.62,0.08
Mavericks,West,1.419485947,-0.150004184,46.5322,75.38,5,1.28,0.26
Warriors,West,0.924694286,1.646253396,43.2372,29.52,4.1,1.5,0.32
Magic,East,0.64328401,-0.195612613,47.2522,97.44,6.42,1.88,0.5
Kings,West,0.172338903,0.719024215,46.5798,82.2,7.6,2.3,0.56
76ers,East,-0.086689464,3.014789063,44.1582,85.8,16.68,6,2.48
Heat,East,-0.113303145,2.331421178,44.396,86.2,13.82,4.26,1.52
Lakers,West,-0.219685275,1.766504681,43.4792,37,5.06,1.78,0.5
Bulls,East,-0.396523364,-0.18071681,39.9586,28.12,1.06,0.36,0.08
Rockets,West,-0.570015485,-4.182159251,38.8258,1.38,<0.1,<0.1,<0.1
Jazz,West,-2.695155963,-3.747489234,34.6604,<0.1,<0.1,<0.1,<0.1
Nets,East,-3.096152389,-2.858595049,32.7156,3.04,<0.1,<0.1,<0.1
Hawks,East,-3.89103881,-0.984406417,35.0174,11.42,0.36,0.06,0.06
Raptors,East,-4.641445283,-1.957120532,28.5782,0.1,<0.1,<0.1,<0.1
Spurs,West,-5.639425739,-9.375811637,19.2352,—,—,—,—
Grizzlies,West,-6.477838431,-3.868328701,27.7904,<0.1,<0.1,<0.1,<0.1
Pistons,East,-7.7077743,-8.606401379,16.4264,—,—,—,—
Blazers,West,-8.012572749,-8.660854091,22.9996,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.301771892,-6.934730215,15.7622,—,—,—,—
Hornets,East,-10.79781777,-8.530673276,19.6462,<0.1,<0.1,<0.1,<0.1
