Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.02459033,9.113634643,100,100,100,100,100
Thunder,West,8.076979109,6.026210603,100,100,—,—,—
T-Wolves,West,6.369272536,5.661807309,100,100,100,—,—
Nuggets,West,4.473918599,4.905905064,100,100,—,—,—
Mavericks,West,6.065307037,4.098298838,100,100,100,100,—
Pelicans,West,3.982113145,2.121340899,100,—,—,—,—
Lakers,West,1.710157698,2.077865776,100,—,—,—,—
76ers,East,-0.921320508,1.924191713,100,—,—,—,—
Heat,East,1.592935099,1.909364615,100,—,—,—,—
Pacers,East,4.066831741,1.845941553,100,100,100,—,—
Bucks,East,1.289737443,1.632514161,100,—,—,—,—
Suns,West,4.767948271,1.579658272,100,—,—,—,—
Warriors,West,2.653972981,1.413806402,—,—,—,—,—
Knicks,East,1.687463286,1.357148849,100,100,—,—,—
Cavaliers,East,1.206047669,0.738377366,100,100,—,—,—
Magic,East,2.00191719,0.736747842,100,—,—,—,—
Kings,West,2.925788996,0.668261635,—,—,—,—,—
Clippers,West,0.85715329,0.667905983,100,—,—,—,—
Bulls,East,-0.789908319,-0.529620378,—,—,—,—,—
Rockets,West,0.044286452,-2.119207456,—,—,—,—,—
Hawks,East,-3.957401807,-2.589309601,—,—,—,—,—
Nets,East,-4.041687263,-3.892322795,—,—,—,—,—
Raptors,East,-9.278732056,-5.245911644,—,—,—,—,—
Grizzlies,West,-8.409962338,-5.757675441,—,—,—,—,—
Jazz,West,-6.223463035,-5.809573973,—,—,—,—,—
Spurs,West,-2.906461947,-7.597659757,—,—,—,—,—
Wizards,East,-8.405317159,-8.463899236,—,—,—,—,—
Pistons,East,-7.670098405,-9.595188082,—,—,—,—,—
Hornets,East,-10.91845206,-9.753978927,—,—,—,—,—
Blazers,West,-9.62466484,-10.62478842,—,—,—,—,—
