Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.47473436,9.001974845,100,100,88.95,77.4,55.45,Boston Celtics,bos,1,0.5545
Thunder,West,7.981671829,6.392281572,100,100,76.5,43.15,16.65,Oklahoma City Thunder,okc,1,0.16649999999999998
Nuggets,West,4.869321506,6.031805304,100,100,34.55,17.35,7.15,Denver Nuggets,den,1,0.07150000000000001
T-Wolves,West,7.070557091,5.792344341,100,100,65.45,33.7,12.95,Minnesota Timberwolves,min,1,0.1295
76ers,East,-0.650080453,2.84357788,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Lakers,West,2.563570429,2.512892888,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Knicks,East,2.664229584,2.363049449,100,100,62.3,12.6,3.75,New York Knicks,ny,1,0.0375
Pelicans,West,4.33537872,2.296931773,100,—,—,—,0,New Orleans Pelicans,no,0,0
Mavericks,West,4.313816764,1.99888949,100,100,23.5,5.8,1.6,Dallas Mavericks,dal,1,0.016
Suns,West,5.585396998,1.938718671,100,—,—,—,0,Phoenix Suns,phx,0,0
Bucks,East,2.156719913,1.637009484,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Warriors,West,2.538467647,1.608269988,—,—,—,—,0,Golden State Warriors,gs,0,0
Heat,East,1.4129185420000001,1.386604107,100,—,—,—,0,Miami Heat,mia,0,0
Cavaliers,East,1.513774084,1.221745037,100,100,11.05,5.05,1.35,Cleveland Cavaliers,cle,1,0.013500000000000002
Magic,East,1.830210207,0.972230058,100,—,—,—,0,Orlando Magic,orl,0,0
Pacers,East,2.699343336,0.86143955,100,100,37.7,4.95,1.1,Indiana Pacers,ind,1,0.011000000000000001
Kings,West,3.239645601,0.843809819,—,—,—,—,0,Sacramento Kings,sac,0,0
Clippers,West,1.198372098,0.651852604,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.743558776,-0.272474844,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,-0.202988495,-1.927385779,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.996670408,-2.150563819,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.954400804,-3.700823017,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.235774314,-4.852110809,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.411383192,-5.395682521,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-5.450187385,-5.510914797,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.698571006,-7.361761602,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.105986509,-8.110030516,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.455024647,-9.131654099,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.52206276,-9.283157188,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.562660725,-10.25102504,—,—,—,—,0,Portland Trail Blazers,por,0,0
