Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.32176436,9.241087575,100,100,100,100,79.15
Thunder,West,7.615993316,5.988251322,100,100,—,—,—
T-Wolves,West,6.319927394,5.642540398,100,100,100,—,—
Nuggets,West,4.316804309,4.960805653,100,100,—,—,—
Mavericks,West,6.675548657,3.830172827,100,100,100,100,20.85
Pelicans,West,3.846399944,2.153757373,100,—,—,—,—
Lakers,West,1.909800371,2.119129955,100,—,—,—,—
76ers,East,-0.99165424,2.049040856,100,—,—,—,—
Heat,East,1.418030137,1.975015495,100,—,—,—,—
Pacers,East,4.293734707,1.806947111,100,100,100,—,—
Bucks,East,1.311516841,1.670674824,100,—,—,—,—
Suns,West,4.404289934,1.615687716,100,—,—,—,—
Warriors,West,2.724413515,1.474713084,—,—,—,—,—
Knicks,East,1.690664637,1.42994246,100,100,—,—,—
Cavaliers,East,1.050630847,0.798861748,100,100,—,—,—
Magic,East,2.245029256,0.780753582,100,—,—,—,—
Kings,West,2.753356092,0.697305564,—,—,—,—,—
Clippers,West,0.625006215,0.629680699,100,—,—,—,—
Bulls,East,-0.611406236,-0.495770084,—,—,—,—,—
Rockets,West,0.057910554,-2.097204485,—,—,—,—,—
Hawks,East,-3.780049178,-2.537747139,—,—,—,—,—
Nets,East,-3.888024219,-3.836322826,—,—,—,—,—
Raptors,East,-9.029416497,-5.208928637,—,—,—,—,—
Grizzlies,West,-8.419509655,-5.699076282,—,—,—,—,—
Jazz,West,-6.297805511,-5.800640839,—,—,—,—,—
Spurs,West,-2.916272807,-7.600568756,—,—,—,—,—
Wizards,East,-8.260222734,-8.433345014,—,—,—,—,—
Pistons,East,-7.601258301,-9.576400854,—,—,—,—,—
Hornets,East,-10.7342081,-9.600045194,—,—,—,—,—
Blazers,West,-9.634119942,-10.61818799,—,—,—,—,—
