Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.30580449,9.253468237,100,100,100,100,80.9
T-Wolves,West,7.346566398,6.038013045,100,100,100,9.9,3.6
Thunder,West,7.429513227,5.965323212,100,100,—,—,—
Nuggets,West,4.437844404,5.06588892,100,100,—,—,—
Mavericks,West,5.580456377,3.44020895,100,100,100,90.1,15.5
Pelicans,West,3.832168483,2.155493839,100,—,—,—,—
Lakers,West,1.934287507,2.133362914,100,—,—,—,—
76ers,East,-1.014963109,2.058831885,100,—,—,—,—
Heat,East,1.389553423,1.983880585,100,—,—,—,—
Pacers,East,4.294211233,1.814183168,100,100,100,—,—
Suns,West,4.473775784,1.69141202,100,—,—,—,—
Bucks,East,1.476302806,1.678887806,100,—,—,—,—
Warriors,West,2.70618647,1.470471642,—,—,—,—,—
Knicks,East,1.668659759,1.435285862,100,100,—,—,—
Cavaliers,East,1.070916116,0.806324683,100,100,—,—,—
Magic,East,2.253987704,0.792671453,100,—,—,—,—
Kings,West,2.737934695,0.67607362,—,—,—,—,—
Clippers,West,0.5891666,0.596336662,100,—,—,—,—
Bulls,East,-0.587484107,-0.485088271,—,—,—,—,—
Rockets,West,0.070888294,-2.090180893,—,—,—,—,—
Hawks,East,-3.786710344,-2.527117263,—,—,—,—,—
Nets,East,-3.875732149,-3.823890789,—,—,—,—,—
Raptors,East,-9.022420742,-5.196882915,—,—,—,—,—
Grizzlies,West,-8.405855797,-5.697711374,—,—,—,—,—
Jazz,West,-6.309426845,-5.790216843,—,—,—,—,—
Spurs,West,-2.922350828,-7.603491024,—,—,—,—,—
Wizards,East,-8.253619822,-8.419338618,—,—,—,—,—
Pistons,East,-7.601149756,-9.560283716,—,—,—,—,—
Hornets,East,-10.73656789,-9.591492769,—,—,—,—,—
Blazers,West,-9.59906559,-10.60158246,—,—,—,—,—
