Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.48140655,8.568308745,64,100,70.65,59.85,42.8,Boston Celtics,bos,64,1,0.428
Nuggets,West,4.841580517,6.535594246,57,100,48.45,32.15,17.75,Denver Nuggets,den,57,1,0.1775
T-Wolves,West,6.382067363,4.744156108,56,100,27.35,16.6,7.6,Minnesota Timberwolves,min,56,1,0.076
Thunder,West,7.131225364,4.641149846,57,100,45.15,21.3,8.2,Oklahoma City Thunder,okc,57,1,0.08199999999999999
Pelicans,West,6.358193754,3.712572005,49,60.1,15.35,6.85,2.8,New Orleans Pelicans,no,49,0.601,0.027999999999999997
Heat,East,1.656625107,3.409000795,46,64,7.5,3.9,1.95,Miami Heat,mia,46,0.64,0.0195
76ers,East,-1.421982413,3.001654572,47,100,27.75,7.15,2.9,Philadelphia 76ers,phi,47,1,0.028999999999999998
Suns,West,5.64961069,2.924808364,49,100,14.8,7.5,2.1,Phoenix Suns,phx,49,1,0.021
Knicks,East,4.060721039,2.82885967,50,100,30.4,8.85,2.95,New York Knicks,ny,50,1,0.029500000000000002
Cavaliers,East,3.167728138,2.319272793,48,100,15.9,7.6,2.7,Cleveland Cavaliers,cle,48,1,0.027000000000000003
Lakers,West,1.606123947,2.303383941,47,100,9.4,4.45,1.05,Los Angeles Lakers,lal,47,1,0.0105
Bucks,East,1.798173827,2.249644118,49,100,28.9,7.9,3.1,Milwaukee Bucks,mil,49,1,0.031
Warriors,West,2.199446408,1.836022995,46,0,—,—,0,Golden State Warriors,gs,46,0,0
Clippers,West,2.970721506,1.809222306,51,100,20.4,5.95,1.6,LA Clippers,lac,51,1,0.016
Kings,West,2.689770793,1.242032529,46,39.9,5,1.3,0.4,Sacramento Kings,sac,46,0.39899999999999997,0.004
Mavericks,West,3.5727429,1.039623731,50,100,14.1,3.9,1.05,Dallas Mavericks,dal,50,1,0.0105
Pacers,East,3.229669117,0.254219861,47,100,12.95,2.6,0.5,Indiana Pacers,ind,47,1,0.005
Bulls,East,-0.341237835,0.18264563,39,36,1.5,0.6,0.15,Chicago Bulls,chi,39,0.36,0.0015
Magic,East,1.479286547,-0.058050483,47,100,4.45,1.55,0.4,Orlando Magic,orl,47,1,0.004
Hawks,East,-4.101120208,-1.969505978,36,0,—,—,0,Atlanta Hawks,atl,36,0,0
Rockets,West,-0.389500165,-1.985073341,41,0,—,—,0,Houston Rockets,hou,41,0,0
Nets,East,-3.876668755,-3.649585885,32,0,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.655720628,-4.757738274,25,0,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.829396316,-5.349428782,27,0,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-4.801335097,-5.48918615,31,0,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.588520417,-7.535168261,22,0,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-8.286034108,-7.92923488,15,0,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.336436851,-9.099304825,14,0,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.46068025,-9.154285869,21,0,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.01622055,-10.26919431,21,0,—,—,0,Portland Trail Blazers,por,21,0,0
