Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.84176105,8.719541119,64,87.9,73,60.15,42.85,Boston Celtics,bos,64,1,0.4285
Nuggets,West,4.871384329,6.525711325,57,91.8,56.85,39.05,18.85,Denver Nuggets,den,57,1,0.1885
T-Wolves,West,7.398663459,5.236082081,56,79.05,34.25,20.1,9.3,Minnesota Timberwolves,min,56,1,0.09300000000000001
Thunder,West,7.042559173,4.660066299,57,71.7,48.45,21.85,9,Oklahoma City Thunder,okc,57,1,0.09
Pelicans,West,5.428702269,3.737002651,49,28.3,16.7,6.45,2.25,New Orleans Pelicans,no,49,1,0.0225
Heat,East,1.760536121,3.578399697,46,12.1,6.05,3.45,1.4,Miami Heat,mia,46,1,0.013999999999999999
Knicks,East,3.814881954,2.881470447,50,81.25,45.7,13.25,5.2,New York Knicks,ny,50,1,0.052000000000000005
76ers,East,-1.846803047,2.767675981,47,18.75,10.25,3,1.2,Philadelphia 76ers,phi,47,1,0.012
Cavaliers,East,3.946166241,2.710446493,48,90.25,19.85,10,3.55,Cleveland Cavaliers,cle,48,1,0.0355
Bucks,East,1.906790465,2.423642887,49,79.05,37.05,9.1,2.95,Milwaukee Bucks,mil,49,1,0.029500000000000002
Lakers,West,1.930720101,2.368529602,47,8.2,3.05,1.35,0.45,Los Angeles Lakers,lal,47,1,0.0045000000000000005
Suns,West,4.47698731,2.313088362,49,20.95,5.85,2.35,0.45,Phoenix Suns,phx,49,1,0.0045000000000000005
Clippers,West,2.887943096,1.812758603,51,71.25,26.1,7.25,1.85,LA Clippers,lac,51,1,0.018500000000000003
Warriors,West,2.594247911,1.769524076,46,—,—,—,0,Golden State Warriors,gs,46,0,0
Kings,West,2.331625192,1.026274454,46,—,—,—,0,Sacramento Kings,sac,46,0,0
Mavericks,West,2.921993399,0.723606916,50,28.75,8.75,1.6,0.5,Dallas Mavericks,dal,50,1,0.005
Pacers,East,2.631653798,-0.064262701,47,20.95,7,0.65,0.1,Indiana Pacers,ind,47,1,0.001
Bulls,East,-0.232468348,-0.456022836,39,—,—,—,0,Chicago Bulls,chi,39,0,0
Magic,East,1.395645408,-0.689298127,47,9.75,1.1,0.4,0.1,Orlando Magic,orl,47,1,0.001
Rockets,West,-0.293946469,-1.896755732,41,—,—,—,0,Houston Rockets,hou,41,0,0
Hawks,East,-4.063039034,-2.023589788,36,—,—,—,0,Atlanta Hawks,atl,36,0,0
Nets,East,-3.454878564,-3.719293627,32,—,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.56969481,-4.811386725,25,—,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.468223799,-5.405550264,27,—,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-5.315457905,-5.461009513,31,—,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.576216433,-7.373506204,22,—,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-8.099873406,-7.915926163,15,—,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.16655674,-9.126620795,14,—,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.15750016,-9.381383488,21,—,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.3497892,-10.285577,21,—,—,—,0,Portland Trail Blazers,por,21,0,0
