Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.80285645,8.811280558,100,100,100,91.95,66.3,Boston Celtics,bos,1,0.6629999999999999
T-Wolves,West,7.609798804,6.651229402,100,100,100,55.45,23,Minnesota Timberwolves,min,1,0.23
Thunder,West,7.232858309,5.988575007,100,100,—,—,0,Oklahoma City Thunder,okc,0,0
Nuggets,West,4.839098084,5.494361683,100,100,—,—,0,Denver Nuggets,den,0,0
Mavericks,West,5.330059397,2.667198199,100,100,100,44.55,8.2,Dallas Mavericks,dal,1,0.08199999999999999
Heat,East,1.361323564,2.322734088,100,—,—,—,0,Miami Heat,mia,0,0
76ers,East,-1.064666416,2.23574502,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Lakers,West,2.137980776,2.196409452,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Pelicans,West,4.089981858,2.080153494,100,—,—,—,0,New Orleans Pelicans,no,0,0
Pacers,East,3.957297429,1.710285997,100,100,100,8.05,2.5,Indiana Pacers,ind,1,0.025
Suns,West,5.105605809,1.603512773,100,—,—,—,0,Phoenix Suns,phx,0,0
Warriors,West,2.509607881,1.518064236,—,—,—,—,0,Golden State Warriors,gs,0,0
Bucks,East,1.648259758,1.363664734,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Knicks,East,1.683645468,0.756523404,100,100,—,—,0,New York Knicks,ny,0,0
Cavaliers,East,1.357341702,0.748669841,100,100,—,—,0,Cleveland Cavaliers,cle,0,0
Magic,East,2.057896165,0.713499683,100,—,—,—,0,Orlando Magic,orl,0,0
Kings,West,3.064380331,0.649923394,—,—,—,—,0,Sacramento Kings,sac,0,0
Clippers,West,1.036241304,0.532149417,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.773404422,-0.486552885,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,-0.009175335,-1.87945638,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.860924286,-2.550426736,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.973252076,-3.965158742,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.271748196,-5.011549439,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.52439912,-5.474114001,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.183958167,-5.530125034,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.833755521,-7.303680246,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.3423900540000009,-8.137993583,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.640582167,-9.228955684,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.8564404,-9.231827661,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.484374858,-10.20889109,—,—,—,—,0,Portland Trail Blazers,por,0,0
