Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.20213588,8.387920287,64,69.5,59.8,49.6,32.65
Nuggets,West,4.90014222,6.532516841,57,97.9,54.7,33.15,18.4
T-Wolves,West,7.689957075,5.633853211,56,97.75,44.2,25.45,13.5
Thunder,West,7.824046948,5.455294156,57,87.7,66.85,33.5,18.25
Heat,East,2.220819397,3.638860029,46,30.5,18.95,10.3,3.8
Pelicans,West,5.07510252,2.959565628,49,12.3,7.7,2.3,1.05
76ers,East,-0.227079782,2.910189585,47,34.35,21.25,6.05,1.8
Knicks,East,3.272567237,2.547787414,50,65.65,39.7,14.25,3.95
Lakers,West,1.803522904,2.231885727,47,2.1,0.5,0.2,0.05
Suns,West,3.907868679,1.930025242,49,2.25,0.6,0,0
Bucks,East,1.589771453,1.892879515,49,36.25,15.6,4.75,1.45
Cavaliers,East,2.762629461,1.75033874,48,74.15,16.7,7.75,1.8
Warriors,West,2.558955379,1.656060082,46,—,—,—,—
Clippers,West,2.029184433,1.385525303,51,34.45,9.1,1.65,0.75
Mavericks,West,3.123580465,1.025572998,50,65.55,16.35,3.75,0.75
Kings,West,2.177712174,0.911750103,46,—,—,—,—
Pacers,East,2.664246695,0.515965847,47,63.75,23.45,5.1,1.25
Magic,East,2.238071738,0.43126876200000003,47,25.85,4.55,2.2,0.55
Bulls,East,-0.190268444,-0.386079898,39,—,—,—,—
Rockets,West,-0.014972053,-1.925378973,41,—,—,—,—
Hawks,East,-3.885003041,-2.314707875,36,—,—,—,—
Nets,East,-3.544383268,-3.671972163,32,—,—,—,—
Raptors,East,-8.697486526,-4.812403616,25,—,—,—,—
Grizzlies,West,-7.734997505,-5.440384044,27,—,—,—,—
Jazz,West,-5.610881967,-5.457735142,31,—,—,—,—
Spurs,West,-2.612718146,-7.361649211,22,—,—,—,—
Wizards,East,-8.036876564,-8.072331929,15,—,—,—,—
Pistons,East,-7.28999406,-9.090353746,14,—,—,—,—
Hornets,East,-10.05640639,-9.218898941,21,—,—,—,—
Blazers,West,-10.441788560000001,-10.28545647,21,—,—,—,—
