Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.470531584,7.468376666,64.3226,>99.9,68.52,50.54,36.18
Thunder,West,9.19380535,3.831665443,58.2926,>99.9,36.68,19.08,8.16
T-Wolves,West,7.148239236,3.66864595,57.6992,>99.9,34.6,18.6,7.26
Cavaliers,East,6.021728611,4.528869391,53.8384,>99.9,44.94,18.78,10.2
Pelicans,West,6.008104338,2.276975513,50.336,98.74,17.02,7.1,2.06
Clippers,West,5.472473584,2.372996896,54.5382,>99.9,25.68,11.18,3.6
Bucks,East,3.929041462,2.380127055,50.3792,99.52,21.52,7.32,2.9
Knicks,East,3.097726791,3.059573686,48.7774,98.2,20.7,8.34,3.7
Suns,West,2.614575595,2.018547435,45.3898,68,11.28,4.14,1.18
Nuggets,West,2.107447195,5.65400185,52.1594,99.66,45.72,30.32,15.56
76ers,East,2.072058182,3.7786563,46.946,95.44,22.1,9.48,4.66
Lakers,West,1.922388188,1.863259812,43.7952,50.78,8.26,3.1,0.96
Heat,East,1.057857625,1.26800953,45.6744,89,10.8,2.92,1.06
Magic,East,0.981250883,-0.560909809,46.848,92.84,6.24,1.36,0.34
Pacers,East,0.908687976,-2.199952575,44.3966,77.78,2.72,0.44,0.08
Mavericks,West,0.896771242,-0.054475684,46.4312,73.78,7.32,2.1,0.56
Warriors,West,0.658051204,1.902332512,43.2758,39.12,6.54,2.28,0.76
Kings,West,0.456150319,0.590580281,45.3626,67.7,6.9,2.1,0.44
Rockets,West,0.26171337,-5.250591949,38.2812,2.04,<0.1,<0.1,<0.1
Bulls,East,-0.165587171,0.624859218,38.8888,30.02,1.94,0.7,0.3
Jazz,West,-2.609478289,-3.350111033,35.946,0.2,<0.1,<0.1,<0.1
Raptors,East,-3.109550677,-1.063898088,31.6032,2.86,0.06,<0.1,<0.1
Nets,East,-3.567385255,-2.317231719,32.2936,4.7,0.08,<0.1,<0.1
Hawks,East,-4.055745252,-0.933153591,34.1624,9.64,0.38,0.08,<0.1
Grizzlies,West,-5.590279788,-2.125851062,29.851,<0.1,<0.1,<0.1,<0.1
Spurs,West,-8.078506852,-10.02245345,17.842,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.656557101,-5.883902736,16.3494,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.935759878,-8.968601143,14.946,<0.1,<0.1,<0.1,<0.1
Blazers,West,-9.421108164,-8.168803611,21.67,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.55460406,-8.24742696,19.7038,<0.1,<0.1,<0.1,<0.1
