Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.44529811,8.958692092,100,100,89.25,75.1,50.8
T-Wolves,West,7.489399809,6.507190718,100,100,86.1,46.85,20.7
Thunder,West,7.983846284,6.404839503,100,100,76.35,40.5,18.5
Nuggets,West,4.508423056,5.688192494,100,100,13.9,7.3,2.45
76ers,East,-0.693586948,2.720036833,100,—,—,—,—
Lakers,West,2.497966702,2.421888116,100,—,—,—,—
Pelicans,West,4.323453124,2.306997366,100,—,—,—,—
Knicks,East,2.605094618,2.226924799,100,100,72.05,16.05,4.45
Mavericks,West,4.29798495,2.000608708,100,100,23.65,5.35,0.9
Suns,West,5.593800181,1.92832514,100,—,—,—,—
Bucks,East,2.152317501,1.619857606,100,—,—,—,—
Warriors,West,2.515577257,1.600981018,—,—,—,—,—
Heat,East,1.384658125,1.351854534,100,—,—,—,—
Cavaliers,East,1.514215316,1.214339951,100,100,10.75,4.3,1.1
Magic,East,1.829651225,1.027746177,100,—,—,—,—
Pacers,East,2.769804108,0.857980718,100,100,27.95,4.55,1.1
Kings,West,3.202413502,0.839282484,—,—,—,—,—
Clippers,West,1.215081611,0.652221949,100,—,—,—,—
Bulls,East,-0.737280248,-0.279599563,—,—,—,—,—
Rockets,West,-0.188605392,-1.939934365,—,—,—,—,—
Hawks,East,-3.996545065,-2.14410101,—,—,—,—,—
Nets,East,-3.939181083,-3.707750104,—,—,—,—,—
Raptors,East,-9.241193149,-4.857327698,—,—,—,—,—
Grizzlies,West,-8.397053128,-5.398870982,—,—,—,—,—
Jazz,West,-5.661590749,-5.5575406,—,—,—,—,—
Spurs,West,-2.720037094,-7.360898611,—,—,—,—,—
Wizards,East,-8.116691464,-8.115147328,—,—,—,—,—
Pistons,East,-7.449871692,-9.141073059,—,—,—,—,—
Hornets,East,-10.5078043,-9.287262768,—,—,—,—,—
Blazers,West,-9.503986428,-10.24627459,—,—,—,—,—
