Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,10.00204068,8.017725181,64.5202,>99.9,70.64,53.46,39.32
Thunder,West,8.622976897,3.990515422,57.442,>99.9,37.28,20.12,8.06
Pelicans,West,7.593462691,2.700325674,50.7802,99.54,21.42,8.52,2.8
T-Wolves,West,7.20178753,3.529365415,56.8676,>99.9,34.36,17.82,7.08
Cavaliers,East,5.855913721,4.570595934,53.7538,>99.9,40.9,16.5,8.62
Clippers,West,5.660944887,2.092775754,53.4392,99.94,21.5,8.1,2.36
Bucks,East,5.451736546,3.38445945,53.0136,>99.9,28.92,10,4.94
Suns,West,2.556795783,2.031602943,45.4712,74.74,11.6,4.62,1.34
Nuggets,West,2.448811219,5.754887719,53.5962,>99.9,48.28,32.26,15.48
Magic,East,1.955278712,-0.263264459,47.7888,96.38,6.24,1.56,0.42
Knicks,East,1.654998597,2.654904922,46.8674,95.5,16.54,6.46,2.46
76ers,East,1.548857445,3.490095557,46.0932,92.7,19.6,6.72,3
Heat,East,0.859333128,2.143350542,46.5608,93.8,13.02,4.36,1.76
Pacers,East,0.574892766,-2.304119977,44.2656,75.12,2.16,0.4,<0.1
Warriors,West,0.31912171,1.717066124,43.7788,48.46,7.44,2.94,0.72
Lakers,West,0.193839742,1.744831255,43.3424,49.52,7,2.74,0.9
Kings,West,-0.029545441,0.67126948,45.1682,72.56,7.72,2.2,0.48
Mavericks,West,-0.09659734,-0.791189332,44.392,54.1,3.38,0.68,0.06
Bulls,East,-0.358964279,0.459730562,39.652,29.76,1.72,0.42,0.16
Rockets,West,-0.58933868,-4.937356137,37.7568,1.12,<0.1,<0.1,<0.1
Jazz,West,-3.02658449,-3.529082883,35.2774,<0.1,<0.1,<0.1,<0.1
Nets,East,-3.139778832,-2.30085178,33.5264,5,0.06,<0.1,<0.1
Hawks,East,-3.700796684,-0.694063482,35.2172,10.78,0.18,0.12,<0.1
Raptors,East,-3.733157178,-1.652188323,30.93,0.96,<0.1,<0.1,<0.1
Grizzlies,West,-6.299402561,-3.2323282,27.9688,<0.1,<0.1,<0.1,<0.1
Spurs,West,-6.362086073,-9.712241897,19.7062,<0.1,<0.1,<0.1,<0.1
Blazers,West,-8.032855825,-8.459223375,22.7306,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.438727076,-8.77036498,15.3074,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.841960813,-6.271199032,15.208,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.00974062,-8.545666587,19.578,<0.1,<0.1,<0.1,<0.1
