Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,12.07967475,8.633866109,63.96,100,73.6,58.9,42.5
Pelicans,West,6.872161647,4.341110511,49.711,100,19.9,11.4,3.7
Thunder,West,6.741198993,4.213107727,56.628,100,28.5,15.9,5.9
T-Wolves,West,6.224260597,4.772928755,56.578,100,41.4,20.8,8.8
Suns,West,4.790099637,2.748670254,48.422,83.5,12.3,4.7,1.5
Nuggets,West,4.682826261,6.47094999,56.791,100,47.4,32.7,16
Mavericks,West,4.291286297,1.357898357,50.372,100,16.5,4.6,1.3
Knicks,East,4.27790891,2.913664121,49.685,100,30.4,9,3.8
Cavaliers,East,3.964683882,2.680551944,48.893,100,14.7,7.1,2.8
Clippers,West,3.658852671,1.876324866,51.676,100,19.6,5.8,1.9
Warriors,West,2.890867617,2.197326028,45.778,28.2,4.3,1.3,0.4
Pacers,East,2.776204007,-0.193797248,46.727,95.2,6.6,0.9,0.4
Bucks,East,2.059878076,2.535021107,49.465,100,25.9,8,3
Magic,East,1.320631833,-0.192300403,46.535,87.5,4.8,0.7,0.2
Heat,East,1.098757748,3.273092867,45.824,88.7,21.8,7,3
Kings,West,1.076005994,0.582763141,45.821,49.7,3.9,0.9,0.2
Lakers,West,0.975529248,2.066552307,46.289,38.6,6.2,1.9,0.5
Bulls,East,-0.261438207,-0.259004456,39.315,22.1,0.6,0.3,0.1
Rockets,West,-0.270259134,-2.1949047,40.324,—,—,—,—
76ers,East,-1.67705452,3.067630314,46.589,90.7,21.3,8.1,4
Hawks,East,-3.080181109,-1.281118659,36.273,15.8,0.3,0,0
Nets,East,-3.58608841,-3.455069725,32.411,—,—,—,—
Spurs,West,-3.7954721,-7.875404738,21.643,—,—,—,—
Jazz,West,-5.187375102,-5.54211326,31.222,—,—,—,—
Pistons,East,-6.692143317,-8.927694715,14.357,—,—,—,—
Grizzlies,West,-7.789960439,-5.13896443,27.209,—,—,—,—
Wizards,East,-8.388422388,-7.761649059,15.04,—,—,—,—
Raptors,East,-8.454277395,-4.67146483,25.176,—,—,—,—
Blazers,West,-9.925100353,-10.05714618,21.179,—,—,—,—
Hornets,East,-10.57836533,-9.448371029,20.107,—,—,—,—
