Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,12.40825255,8.285977856,65.2856,>99.9,71.46,55.96,39.74,Boston Celtics,bos,65,0.9990000000000001,0.39740000000000003
Thunder,West,7.910736007,4.204186672,57.5596,>99.9,36.48,18.7,7.52,Oklahoma City Thunder,okc,58,0.9990000000000001,0.07519999999999999
Pelicans,West,7.621503895,3.716640908,50.8214,99.46,28.3,13.34,4.94,New Orleans Pelicans,no,51,0.9945999999999999,0.049400000000000006
T-Wolves,West,6.089249189,4.044493018,56.5368,>99.9,34.84,17.6,7.4,Minnesota Timberwolves,min,57,0.9990000000000001,0.07400000000000001
Nuggets,West,5.305215007,6.062611457,57.568,>99.9,51.18,32.78,17.08,Denver Nuggets,den,58,0.9990000000000001,0.17079999999999998
Cavaliers,East,4.691580503,3.924390866,50.6622,>99.9,31.96,12.84,5.78,Cleveland Cavaliers,cle,51,0.9990000000000001,0.057800000000000004
Bucks,East,4.017055408,3.271339178,51.7708,>99.9,31.48,10.66,4.84,Milwaukee Bucks,mil,52,0.9990000000000001,0.0484
Clippers,West,3.448036111,1.929287383,50.5336,99.08,15.88,5.72,1.66,LA Clippers,lac,51,0.9908,0.0166
Knicks,East,3.402187899,3.21027874,49.2434,99.86,22.28,8.66,3.82,New York Knicks,ny,49,0.9986,0.0382
Suns,West,3.401212864,2.674981542,46.358,66.74,10.58,4.28,1.3,Phoenix Suns,phx,46,0.6674,0.013000000000000001
Pacers,East,2.476580742,-0.803299668,46.3404,94.48,5.8,1.06,0.16,Indiana Pacers,ind,46,0.9448000000000001,0.0016
Mavericks,West,1.988540095,0.631451158,48.7108,93.32,7.7,2.48,0.64,Dallas Mavericks,dal,49,0.9331999999999999,0.0064
Warriors,West,1.752211671,1.99530321,43.3936,19.72,2.96,0.98,0.3,Golden State Warriors,gs,43,0.1972,0.003
Magic,East,1.549871023,0.141645199,48.1874,98.98,8.02,2,0.68,Orlando Magic,orl,48,0.9898,0.0068000000000000005
Rockets,West,0.680135064,-2.753630152,41.354,3.64,0.12,<0.1,<0.1,Houston Rockets,hou,41,0.0364,0.001
Kings,West,0.481925817,0.341184924,46.576,72.68,5.26,1.48,0.24,Sacramento Kings,sac,47,0.7268000000000001,0.0024
Lakers,West,0.214653391,2.003251612,45.2274,45.36,6.7,2.62,0.74,Los Angeles Lakers,lal,45,0.4536,0.0074
Heat,East,-0.116767293,1.752223372,44.6846,85.18,11.86,3.46,1.24,Miami Heat,mia,45,0.8518000000000001,0.0124
Bulls,East,-0.288392885,-0.329865347,38.9162,20.48,0.6,0.16,0.06,Chicago Bulls,chi,39,0.2048,6e-4
76ers,East,-1.065381711,2.942203491,44.1052,84.58,16.22,5.1,1.84,Philadelphia 76ers,phi,44,0.8458,0.0184
Hawks,East,-2.34914792,-0.817383038,36.7412,16.38,0.32,0.1,<0.1,Atlanta Hawks,atl,37,0.1638,0.001
Jazz,West,-2.94875366,-4.686136919,32.6582,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,33,0.001,0.001
Nets,East,-4.813047182,-3.127431728,31.1168,0.1,<0.1,<0.1,<0.1,Brooklyn Nets,bkn,31,0.001,0.001
Spurs,West,-5.461834207,-9.241970558,19.2358,0,—,—,0,San Antonio Spurs,sa,19,0,0
Raptors,East,-5.470045417,-2.826658817,26.4112,<0.1,<0.1,<0.1,<0.1,Toronto Raptors,tor,26,0.001,0.001
Grizzlies,West,-7.572414858,-4.271750239,27.1904,0,—,—,0,Memphis Grizzlies,mem,27,0,0
Pistons,East,-8.011973261,-8.882776519,15.3472,0,—,—,0,Detroit Pistons,det,15,0,0
Wizards,East,-8.324052791,-7.126019874,17.2048,0,—,—,0,Washington Wizards,wsh,17,0,0
Blazers,West,-8.981205359,-9.295922931,21.5454,0,—,—,0,Portland Trail Blazers,por,22,0,0
Hornets,East,-11.96002737,-9.204687371,18.714,0,—,—,0,Charlotte Hornets,cha,19,0,0
