Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.98866995,9.330324349,100,100,100,100,94.15,Boston Celtics,bos,1,0.9415
Thunder,West,7.641536056,5.960353974,100,100,—,—,0,Oklahoma City Thunder,okc,0,0
T-Wolves,West,6.253107249,5.618789177,100,100,100,—,0,Minnesota Timberwolves,min,1,0
Nuggets,West,4.589461838,4.94811675,100,100,—,—,0,Denver Nuggets,den,0,0
Mavericks,West,6.544176749,3.67244673,100,100,100,100,5.85,Dallas Mavericks,dal,1,0.058499999999999996
76ers,East,-0.971635112,2.204306782,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Pelicans,West,4.08510382,2.138894794,100,—,—,—,0,New Orleans Pelicans,no,0,0
Lakers,West,2.037488521,2.097765134,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Heat,East,1.696576257,1.987084987,100,—,—,—,0,Miami Heat,mia,0,0
Pacers,East,4.117934881,1.804457108,100,100,100,—,0,Indiana Pacers,ind,1,0
Bucks,East,1.397466792,1.662822328,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Suns,West,4.997311008,1.604029778,100,—,—,—,0,Phoenix Suns,phx,0,0
Knicks,East,1.591177382,1.441672568,100,100,—,—,0,New York Knicks,ny,0,0
Warriors,West,2.553993033,1.422949983,—,—,—,—,0,Golden State Warriors,gs,0,0
Cavaliers,East,1.349913375,0.797700026,100,100,—,—,0,Cleveland Cavaliers,cle,0,0
Magic,East,1.841114323,0.769007923,100,—,—,—,0,Orlando Magic,orl,0,0
Kings,West,3.001193543,0.676091771,—,—,—,—,0,Sacramento Kings,sac,0,0
Clippers,West,0.88233504,0.600098095,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.886504125,-0.508468394,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,-0.009125869,-2.115854075,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.885379362,-2.545339169,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-4.092374211,-3.833906597,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.335487493,-5.223518917,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.690169083,-5.773577443,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.139127988,-5.822934498,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.919957461,-7.626345957,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.397192477,-8.452272029,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.655686516,-9.597273518,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.9245965,-9.622177016,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.542726437,-10.64474599,—,—,—,—,0,Portland Trail Blazers,por,0,0
