Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,12.47808002,8.621463057,65.428,>99.9,68.5,55.4,39.8,Boston Celtics,bos,65,0.9990000000000001,0.39799999999999996
Thunder,West,6.844491788,3.935847022,55.686,>99.9,28,14.9,6.3,Oklahoma City Thunder,okc,56,0.9990000000000001,0.063
T-Wolves,West,6.782183432,4.566726613,56.407,>99.9,41.3,21,9,Minnesota Timberwolves,min,56,0.9990000000000001,0.09
Pelicans,West,6.602829612,3.613289849,48.265,85.9,15.6,6.5,3.2,New Orleans Pelicans,no,48,0.8590000000000001,0.032
Suns,West,5.381657346,2.980887052,48.732,87.9,15.5,7.3,3.3,Phoenix Suns,phx,49,0.879,0.033
Nuggets,West,4.561282638,6.418608385,56.694,>99.9,51.8,35.1,17.1,Denver Nuggets,den,57,0.9990000000000001,0.171
Mavericks,West,4.471660411,1.118548945,50.316,99.7,15.2,4.2,0.8,Dallas Mavericks,dal,50,0.997,0.008
Pacers,East,3.407804253,-0.373404497,46.522,93.3,7.4,1.4,0.2,Indiana Pacers,ind,47,0.9329999999999999,0.002
Cavaliers,East,3.263230396,2.923346101,48.73,99.9,26,10.1,4.6,Cleveland Cavaliers,cle,49,0.9990000000000001,0.046
Bucks,East,3.03125614,2.718815907,49.316,>99.9,25.7,6.9,2.9,Milwaukee Bucks,mil,49,0.9990000000000001,0.028999999999999998
Clippers,West,2.885363332,1.720309498,51.763,>99.9,18.1,5.8,1.7,LA Clippers,lac,52,0.9990000000000001,0.017
Knicks,East,2.60705132,3.097279644,47.561,99.1,25.1,10.4,4.4,New York Knicks,ny,48,0.991,0.044000000000000004
Warriors,West,2.099449049,2.232144775,45.133,26.5,3.8,1,0.3,Golden State Warriors,gs,45,0.265,0.003
Heat,East,1.611555231,3.058852755,46.014,91.3,19.5,8.2,3.2,Miami Heat,mia,46,0.9129999999999999,0.032
Lakers,West,1.472358744,2.316459157,46.89,52.2,7.4,2.9,0.9,Los Angeles Lakers,lal,47,0.522,0.009000000000000001
Magic,East,1.158076308,0.02591041,47.563,96.1,8.2,1.3,<0.1,Orlando Magic,orl,48,0.961,0.001
Kings,West,0.769994169,0.479380793,46.454,47.8,3.3,1.3,0.3,Sacramento Kings,sac,46,0.478,0.003
Bulls,East,-0.707915717,-0.442104409,39.532,20.5,1.3,0.4,<0.1,Chicago Bulls,chi,40,0.205,0.001
Rockets,West,-0.79068,-2.583655794,40.38,<0.1,<0.1,<0.1,<0.1,Houston Rockets,hou,40,0.001,0.001
76ers,East,-1.895764465,3.101119011,45.284,83.4,17.9,5.7,1.9,Philadelphia 76ers,phi,45,0.8340000000000001,0.019
Hawks,East,-2.921308006,-1.139025674,37.668,16.4,0.4,0.2,0.1,Atlanta Hawks,atl,38,0.16399999999999998,0.001
Nets,East,-3.882606687,-3.052707063,32.73,0,—,—,0,Brooklyn Nets,bkn,33,0,0
Jazz,West,-4.062994095,-5.376578331,30.578,0,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-4.19357481,-8.335342057,21.135,0,—,—,0,San Antonio Spurs,sa,21,0,0
Pistons,East,-6.828195481,-8.965862967,14.188,0,—,—,0,Detroit Pistons,det,14,0,0
Raptors,East,-7.463361952,-4.173387538,25.536,0,—,—,0,Toronto Raptors,tor,26,0,0
Grizzlies,West,-7.631282139,-4.572055786,28.057,0,—,—,0,Memphis Grizzlies,mem,28,0,0
Wizards,East,-8.750099293,-8.056296042,15.911,0,—,—,0,Washington Wizards,wsh,16,0,0
Blazers,West,-9.230834246,-9.827800518,21.874,0,—,—,0,Portland Trail Blazers,por,22,0,0
Hornets,East,-10.56975356,-9.201164448,19.653,0,—,—,0,Charlotte Hornets,cha,20,0,0
