Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,11.14992627,8.025873923,64.9414,>99.9,70.1,55.04,39.38
Thunder,West,7.63510574,4.169291814,56.7432,>99.9,36.88,19.56,8.2
Pelicans,West,7.615778309,3.195663635,51.508,99.52,25.48,11.28,4.06
T-Wolves,West,6.359162506,3.723405213,56.093,>99.9,33.28,16.48,7.12
Cavaliers,East,5.275358647,4.233570916,51.875,>99.9,39.08,14.8,7.42
Clippers,West,4.729084561,2.119387067,52.6912,99.88,19.6,7.32,2.2
Bucks,East,4.314999889,2.756103947,51.3208,>99.9,28.46,8.84,3.64
Nuggets,West,3.954157211,5.880467297,55.5816,>99.9,49.8,32.78,16.62
Knicks,East,2.504127665,3.130374181,47.562,98.4,21.34,8.96,3.66
Suns,West,2.362377781,2.485269516,46.0836,74.24,12.16,5.28,1.56
Pacers,East,2.182953198,-1.758101197,46.068,91.92,3.2,0.42,0.06
Warriors,West,1.221142018,1.773529372,43.8112,38.38,4.98,2.02,0.48
Mavericks,West,1.007159202,-0.384452223,46.1722,68.98,4.56,1.16,0.16
Magic,East,0.726774883,-0.344628558,46.535,93.84,6.64,1.68,0.26
76ers,East,0.688321414,3.12776753,44.8368,88.18,17.36,5.84,2.44
Kings,West,0.092470437,0.671592822,46.0158,75.58,7.34,2.22,0.5
Heat,East,-0.02274597,1.86508826,44.4502,84.68,12.2,3.96,1.56
Bulls,East,-0.481210734,0.064754135,39.64,26.76,1.12,0.34,0.06
Lakers,West,-0.507543433,1.854899901,43.6934,42.32,5.92,1.9,0.58
Rockets,West,-0.757162605,-4.317491133,38.6254,1.1,<0.1,<0.1,<0.1
Nets,East,-2.955813842,-2.751363254,33.1272,1.96,<0.1,<0.1,<0.1
Jazz,West,-3.059274444,-3.769016206,34.2296,<0.1,<0.1,<0.1,<0.1
Hawks,East,-3.328922699,-0.765681343,36.3358,14.26,0.5,0.12,<0.1
Raptors,East,-4.09063216,-1.755592879,29.8042,<0.1,<0.1,<0.1,<0.1
Spurs,West,-5.607481144,-9.344844733,19.5594,—,<0.1,<0.1,<0.1
Grizzlies,West,-6.297644613,-3.624980458,28.575,<0.1,<0.1,<0.1,<0.1
Pistons,East,-7.573434948,-8.52227769,16.26,<0.1,<0.1,<0.1,<0.1
Blazers,West,-7.826069543,-8.718119766,22.79,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.624692674,-6.707271662,15.8872,—,<0.1,<0.1,<0.1
Hornets,East,-10.74072252,-8.72838991,19.1838,<0.1,<0.1,<0.1,<0.1
