Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.4602565,8.49889935,64,85.6,74.7,61.9,41.45,Boston Celtics,bos,64,1,0.41450000000000004
Nuggets,West,4.717314655,6.280535975,57,95.7,53.15,29.85,15.9,Denver Nuggets,den,57,1,0.159
Thunder,West,8.132715836,6.080228718,57,97.95,77.1,41.2,20.9,Oklahoma City Thunder,okc,57,1,0.209
T-Wolves,West,7.604160156,5.66793863,56,97.6,45.1,23.2,10.55,Minnesota Timberwolves,min,56,1,0.10550000000000001
Heat,East,1.894729538,3.554586659,46,14.4,9,5.3,1.65,Miami Heat,mia,46,1,0.0165
76ers,East,-0.269794836,2.897553224,47,34.8,20.4,6.35,1.75,Philadelphia 76ers,phi,47,1,0.0175
Knicks,East,3.195250124,2.42879113,50,65.2,39.1,10.15,2.9,New York Knicks,ny,50,1,0.028999999999999998
Pelicans,West,4.321241584,2.358945752,49,2.05,1,0.35,0.05,New Orleans Pelicans,no,49,1,5e-4
Lakers,West,1.999107885,2.327922299,47,4.3,1.2,0.45,0.1,Los Angeles Lakers,lal,47,1,0.001
Bucks,East,1.665451181,1.987787298,49,35.55,15.9,4.05,0.9,Milwaukee Bucks,mil,49,1,0.009000000000000001
Suns,West,4.127799321,1.853495802,49,2.4,0.55,0.2,0,Phoenix Suns,phx,49,1,0
Warriors,West,2.538920547,1.628780967,46,—,—,—,0,Golden State Warriors,gs,46,0,0
Clippers,West,2.062532554,1.357388406,51,32.1,7.8,1.75,0.45,LA Clippers,lac,51,1,0.0045000000000000005
Cavaliers,East,2.437470887,1.299897913,48,54.55,9.75,4.55,1.35,Cleveland Cavaliers,cle,48,1,0.013500000000000002
Mavericks,West,3.232620752,0.999250978,50,67.9,14.1,3,1,Dallas Mavericks,dal,50,1,0.01
Kings,West,2.625501206,0.866647529,46,—,—,—,0,Sacramento Kings,sac,46,0,0
Magic,East,2.473829169,0.849644105,47,45.45,6.55,2.8,0.5,Orlando Magic,orl,47,1,0.005
Pacers,East,2.794670725,0.509388592,47,64.45,24.6,4.9,0.55,Indiana Pacers,ind,47,1,0.0055000000000000005
Bulls,East,-0.337556489,-0.302862269,39,—,—,—,0,Chicago Bulls,chi,39,0,0
Rockets,West,-0.058672836,-1.954915637,41,—,—,—,0,Houston Rockets,hou,41,0,0
Hawks,East,-3.909698747,-2.374496013,36,—,—,—,0,Atlanta Hawks,atl,36,0,0
Nets,East,-3.647702046,-3.691822043,32,—,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.777489014,-4.845070959,25,—,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.791052421,-5.4509605,27,—,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-5.539457539,-5.45513874,31,—,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.687227681,-7.373561489,22,—,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-7.991099325,-8.084769864,15,—,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.329217339,-9.099248336,14,—,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.17452172,-9.234727598,21,—,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.33165534,-10.29291376,21,—,—,—,0,Portland Trail Blazers,por,21,0,0
