Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.403203226,7.289832159,60.7504,>99.9,65.64,48.72,36.28
Nuggets,West,4.966770697,5.154692473,51.3568,99.36,55.4,40.28,20.16
Cavaliers,East,4.800013633,2.899284188,49.7364,97.98,23.36,8.58,4.46
76ers,East,4.768709862,4.135356218,50.7244,99.3,34.04,15.6,9.2
Heat,East,4.247611348,3.107984095,50.308,98.56,25.1,10.16,5.3
Bucks,East,4.086096614,2.041936601,50.5112,98.26,19.14,5.86,2.9
Knicks,East,3.666747065,2.896445798,48.5916,96.16,20.98,8.4,4.02
Suns,West,3.509540701,0.943016952,48.9482,94.5,22.22,9.5,2.9
Warriors,West,3.332320446,1.450067121,46.2622,87.34,21.28,9.12,3.02
Lakers,West,3.33090674,1.763262967,47.5206,88.4,23.4,11.26,2.94
Thunder,West,2.365011864,-0.087385921,48.5186,94.32,16.14,6.12,1.54
T-Wolves,West,1.50286205,0.305127346,47.578,91.62,18.5,7.22,2.2
Kings,West,1.205472379,0.614254466,44.128,68.14,12.42,4.84,1.06
Raptors,East,1.052915275,-0.67153834,41.6712,61.38,3.58,0.72,0.3
Pelicans,West,0.986484176,0.885100188,44.3884,68.96,13.38,5,1.26
Clippers,West,0.489607975,-0.441872191,39.1166,29.58,3.5,1.34,0.26
Bulls,East,0.107150994,-0.692134425,36.2238,18.64,1.06,0.12,<0.1
Mavericks,West,0.024073372,0.674872854,43.1738,67.3,12.48,4.9,1.48
Magic,East,-0.240786585,-2.354164487,42.8768,63.86,2.16,0.38,0.1
Hawks,East,-0.323855863,0.867231746,39.1292,42.6,3.7,1.14,0.4
Grizzlies,West,-0.359293707,1.057502841,35.0532,8.72,1.28,0.42,0.12
Nets,East,-2.386141395,0.823639258,35.1522,13.86,1.16,0.32,0.08
Pacers,East,-3.18058162,-4.212633634,35.7906,9.24,0.08,<0.1,<0.1
Jazz,West,-4.948104549,-2.38043116,28.251,0.24,<0.1,<0.1,<0.1
Rockets,West,-5.050678659,-7.190078962,32.938,1.52,<0.1,<0.1,<0.1
Wizards,East,-5.061247504,-2.893908602,25.8726,0.08,<0.1,<0.1,<0.1
Hornets,East,-6.13827273,-5.864004634,26.475,0.08,<0.1,<0.1,<0.1
Pistons,East,-8.294222105,-7.732744009,20.3878,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.94953288,-7.190736537,18.995,<0.1,<0.1,<0.1,<0.1
Spurs,West,-12.54727896,-9.734962513,15.5704,<0.1,<0.1,<0.1,<0.1
