Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,8.571176062,7.114913836,61.8876,>99.9,62.92,43.46,31.6,Boston Celtics,bos,62,0.9990000000000001,0.316
76ers,East,8.149850877,5.631740828,58.6902,>99.9,53.1,27.62,18.14,Philadelphia 76ers,phi,59,0.9990000000000001,0.1814
Nuggets,West,5.306304745,5.342556759,53.2404,99.38,55.48,40.16,19.14,Denver Nuggets,den,53,0.9937999999999999,0.19140000000000001
T-Wolves,West,4.899705711,1.740610732,56.3346,99.92,28.84,12.48,3.86,Minnesota Timberwolves,min,56,0.9992,0.038599999999999995
Bucks,East,3.283839782,2.070629865,51.3562,99.14,17.1,5.88,2.56,Milwaukee Bucks,mil,51,0.9914000000000001,0.0256
Warriors,West,3.166768664,1.421180032,45.9332,71.94,14.8,6.18,1.76,Golden State Warriors,gs,46,0.7193999999999999,0.0176
Cavaliers,East,3.105556657,3.277195507,47.2996,94.3,20.28,8.24,4.24,Cleveland Cavaliers,cle,47,0.943,0.0424
Lakers,West,3.005955545,1.856129708,46.907,79.66,19.18,8.84,2.74,Los Angeles Lakers,lal,47,0.7966,0.0274
Knicks,East,2.801904594,2.744402942,46.7382,91.96,17.22,5.94,3.08,New York Knicks,ny,47,0.9196,0.0308
Thunder,West,2.603313177,0.955858004,50.2126,93.84,19.08,7.8,2.48,Oklahoma City Thunder,okc,50,0.9384,0.0248
Heat,East,2.516306957,2.084974987,46.8446,91.04,14.06,4.72,2.02,Miami Heat,mia,47,0.9104000000000001,0.0202
Pelicans,West,2.488793161,1.35128198,47.5112,83.3,19.02,8.1,2.66,New Orleans Pelicans,no,48,0.833,0.026600000000000002
Clippers,West,2.344739516,0.04139854,46.4716,74.04,10.34,3.6,0.76,LA Clippers,lac,46,0.7404000000000001,0.0076
Suns,West,2.14961922,0.982772097,45.377,66.3,11.78,4.48,1.24,Phoenix Suns,phx,45,0.6629999999999999,0.0124
Kings,West,1.361522811,0.956997322,46.0138,71.48,13.7,5.46,1.4,Sacramento Kings,sac,46,0.7148,0.013999999999999999
Nets,East,1.34443307,1.212577366,44.2552,77.14,8.08,2.52,1.16,Brooklyn Nets,bkn,44,0.7714,0.0116
Hawks,East,0.314058628,0.599281588,39.8016,33.18,2.4,0.56,0.24,Atlanta Hawks,atl,40,0.3318,0.0024
Mavericks,West,-0.367716008,0.329132577,43.9282,51.68,7.74,2.9,0.6,Dallas Mavericks,dal,44,0.5168,0.006
Bulls,East,-0.456980391,0.354086941,37.459,16.72,1.18,0.3,0.1,Chicago Bulls,chi,37,0.1672,0.001
Magic,East,-0.641508329,-1.610030844,43.6222,68.04,2.92,0.68,0.2,Orlando Magic,orl,44,0.6804000000000001,0.002
Raptors,East,-0.668366636,-0.848637098,37.4122,14.54,0.48,0.06,<0.1,Toronto Raptors,tor,37,0.1454,0.001
Grizzlies,West,-2.196253854,-0.183568155,31.0588,0.06,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,31,6e-4,0.001
Pacers,East,-2.455918356,-3.702616924,37.582,13.94,0.26,<0.1,<0.1,Indiana Pacers,ind,38,0.1394,0.001
Rockets,West,-2.637246585,-6.490788432,39.1138,8.4,<0.1,<0.1,<0.1,Houston Rockets,hou,39,0.084,0.001
Jazz,West,-6.741437035,-3.696131018,26.6428,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,27,0.001,0.001
Wizards,East,-6.891782056,-3.63172187,22.4346,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,22,0.001,0.001
Hornets,East,-7.590115454,-6.555854479,24.1102,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,24,0.001,0.001
Pistons,East,-10.57602964,-9.118988814,15.38,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Blazers,West,-10.58531021,-5.844762922,19.0178,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,19,0.001,0.001
Spurs,West,-10.81672756,-10.92458164,17.3638,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,17,0.001,0.001
