Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,12.38818336,8.651054949,65.472,>99.9,72,58.9,43.3
T-Wolves,West,7.000506717,4.686492705,56.869,>99.9,42.3,21.8,10.3
Pelicans,West,6.392139504,3.927883091,48.715,93.2,20.7,11.9,4.2
Thunder,West,6.145281562,3.822110687,55.757,>99.9,23.8,12.2,5.2
Suns,West,4.99423239,2.832703091,48.015,78.7,13.1,5.2,1.4
Nuggets,West,4.601064412,6.34599934,56.637,>99.9,52.2,33.1,16.2
Mavericks,West,4.105704617,1.135650978,50.562,>99.9,13,3.7,0.7
Cavaliers,East,3.671455805,2.798564485,48.307,99.2,22.5,7.6,2.8
Knicks,East,3.381262539,3.193715809,48.224,>99.9,25.1,9,3.7
Clippers,West,3.307876168,1.832849591,52.37,99.9,18.8,7.3,2.1
Pacers,East,3.004624349,-0.298358571,46.88,95.5,7.4,1.6,0.4
Bucks,East,2.371520278,2.494222163,48.666,>99.9,22.1,6.7,2.1
Warriors,West,2.10409364,2.14722794,45.417,28.1,4.4,1.4,0.2
Magic,East,1.939961115,0.245646585,48.003,97.9,8.5,1.8,0.8
Heat,East,1.558544437,3.133110159,45.681,85.3,21.6,7.3,2.7
Kings,West,1.429732667,0.720425456,46.967,63.9,5.6,1.7,0.7
Lakers,West,1.25434441,2.193681308,46.568,36.2,6.1,1.7,0.6
Bulls,East,-0.742363214,-0.53102942,39.078,21.1,0.6,0.1,<0.1
Rockets,West,-0.948245064,-2.516988668,40.05,<0.1,<0.1,<0.1,<0.1
76ers,East,-1.677928637,3.012200119,45.798,85.1,19.8,6.8,2.6
Hawks,East,-2.837878077,-1.108643797,37.659,15.9,0.4,0.2,<0.1
Spurs,West,-3.992747667,-8.232086962,20.688,—,—,—,—
Jazz,West,-4.237436323,-5.403967868,30.237,—,—,—,—
Nets,East,-4.345054619,-3.565380952,32.215,—,—,—,—
Pistons,East,-6.801315671,-8.951998668,14.184,—,—,—,—
Raptors,East,-7.322855447,-4.280703891,26.002,—,—,—,—
Grizzlies,West,-7.714659377,-4.653589086,28.112,—,—,—,—
Wizards,East,-8.714941311,-7.90679275,15.45,—,—,—,—
Blazers,West,-9.491909213,-9.747351432,21.853,—,—,—,—
Hornets,East,-10.13697389,-9.1569756,19.564,—,—,—,—
