Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,10.50376117,7.991547499,65.317,>99.9,71.1,52.7,38.52,Boston Celtics,bos,65,0.9990000000000001,0.38520000000000004
Thunder,West,8.965583774,4.020972304,57.4878,>99.9,36.72,19.12,8.04,Oklahoma City Thunder,okc,57,0.9990000000000001,0.08039999999999999
Pelicans,West,7.150545147,2.402058487,50.3154,99.4,19.42,8.12,2.78,New Orleans Pelicans,no,50,0.9940000000000001,0.0278
T-Wolves,West,6.431311906,3.655201828,56.443600000000004,>99.9,36.28,18.56,6.8,Minnesota Timberwolves,min,56,0.9990000000000001,0.068
Cavaliers,East,6.309257538,4.528878515,53.4642,>99.9,40.48,16.62,8,Cleveland Cavaliers,cle,53,0.9990000000000001,0.08
Clippers,West,5.785442515,1.97322716,53.6478,>99.9,21.58,8.08,2.6,LA Clippers,lac,54,0.9990000000000001,0.026000000000000002
Bucks,East,5.709287485,3.385928733,53.0828,>99.9,29.8,10.78,4.74,Milwaukee Bucks,mil,53,0.9990000000000001,0.047400000000000005
Nuggets,West,2.811420099,5.824729479,54.3658,>99.9,51.12,33.72,17.1,Denver Nuggets,den,54,0.9990000000000001,0.171
Suns,West,2.487410379,1.872914528,44.843,65.2,9.14,3.46,0.9,Phoenix Suns,phx,45,0.652,0.009000000000000001
Knicks,East,2.405746959,2.780375048,47.9194,97.98,17.32,6.64,2.98,New York Knicks,ny,48,0.9798,0.0298
Magic,East,1.868204173,-0.335780837,47.5188,95.54,5.52,1.12,0.26,Orlando Magic,orl,48,0.9554,0.0026
76ers,East,1.524193137,3.561005119,46.5816,94.66,20.4,7.68,3.52,Philadelphia 76ers,phi,47,0.9466,0.0352
Heat,East,0.944907223,1.926498799,46.3442,93.68,11.66,3.66,1.56,Miami Heat,mia,46,0.9368000000000001,0.015600000000000001
Pacers,East,0.330703672,-2.411998552,43.5504,68.84,1.42,0.2,0.06,Indiana Pacers,ind,44,0.6884,6e-4
Warriors,West,0.317466958,1.721508734,43.752,47.72,6.34,2.04,0.58,Golden State Warriors,gs,44,0.4772,0.0058
Mavericks,West,0.257907952,-0.567576782,45.1038,65.3,4.84,1.48,0.36,Dallas Mavericks,dal,45,0.653,0.0036
Lakers,West,0.106055498,1.73133435,43.4162,49.5,7.08,2.76,0.62,Los Angeles Lakers,lal,43,0.495,0.0062
Kings,West,0.052535372,0.672501673,45.1716,71.86,7.46,2.66,0.44,Sacramento Kings,sac,45,0.7186,0.0044
Bulls,East,-0.3434164,0.39085088,39.7262,32.34,1.9,0.52,0.12,Chicago Bulls,chi,40,0.3234,0.0012
Rockets,West,-0.813243973,-4.92345205,37.3744,1.06,<0.1,<0.1,<0.1,Houston Rockets,hou,37,0.0106,0.001
Raptors,East,-3.006481196,-1.332219658,31.6374,2.3,<0.1,<0.1,<0.1,Toronto Raptors,tor,32,0.023,0.001
Jazz,West,-3.06052666,-3.474975194,35.2022,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,35,0.001,0.001
Nets,East,-3.282296207,-2.340732696,32.8248,4.6,0.06,<0.1,<0.1,Brooklyn Nets,bkn,33,0.046,0.001
Hawks,East,-4.00087855,-0.828048725,34.3582,10.06,0.3,<0.1,<0.1,Atlanta Hawks,atl,34,0.10060000000000001,0.001
Spurs,West,-6.421832834,-9.698123426,19.9722,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,20,0.001,0.001
Grizzlies,West,-6.536194984,-3.061491485,27.939,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,28,0.001,0.001
Blazers,West,-8.432780824,-8.386011483,22.535,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,23,0.001,0.001
Pistons,East,-8.515453959,-8.791973544,15.4286,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Wizards,East,-9.478957791,-6.267105186,14.8998,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,15,0.001,0.001
Hornets,East,-10.16168637,-8.489205927,19.7768,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,20,0.001,0.001
