Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.490402,8.417142821,64,86.45,76.45,65,43.5
Nuggets,West,4.734800468,6.276904327,57,94.55,51.65,28.6,14.65
Thunder,West,8.147213638,6.072776602,57,97.5,76.2,41.15,18.9
T-Wolves,West,7.453055305,5.571766398,56,100,46.6,24.5,11.3
Heat,East,1.890898523,3.518069362,46,13.55,8,5,2
76ers,East,-0.57726491,2.641123522,47,11.15,6.3,1.65,0.3
Knicks,East,3.171497313,2.587418468,50,88.85,54.15,13.1,4.05
Pelicans,West,4.340569405,2.357331407,49,2.5,1.4,0.5,0.15
Lakers,West,2.00366654,2.355442435,47,5.45,1.75,0.65,0.05
Suns,West,4.506139179,1.984120799,49,—,—,—,—
Bucks,East,1.550261965,1.734911903,49,17.45,7.2,1.8,0.45
Warriors,West,2.52117715,1.624487765,46,—,—,—,—
Clippers,West,1.92348003,1.473008914,51,57.1,13.35,3.1,1.3
Cavaliers,East,2.445560843,1.309879558,48,54,8.95,4.3,1
Pacers,East,2.926670691,0.858940722,47,82.55,32.35,5.8,1.3
Mavericks,West,2.860030364,0.84951156,50,42.9,9.05,1.5,0.35
Kings,West,2.787956304,0.847401368,46,—,—,—,—
Magic,East,2.633114706,0.840483804,47,46,6.6,3.35,0.7
Bulls,East,-0.352987169,-0.314483558,39,—,—,—,—
Rockets,West,-0.104678466,-1.960436318,41,—,—,—,—
Hawks,East,-3.931244433,-2.370109951,36,—,—,—,—
Nets,East,-3.675462829,-3.723773576,32,—,—,—,—
Raptors,East,-8.816883079,-4.853969528,25,—,—,—,—
Grizzlies,West,-7.895869882,-5.446568259,27,—,—,—,—
Jazz,West,-5.569557474,-5.507759405,31,—,—,—,—
Spurs,West,-2.705764142,-7.382723625,22,—,—,—,—
Wizards,East,-7.86006761,-8.098348252,15,—,—,—,—
Pistons,East,-7.364359804,-9.105021748,14,—,—,—,—
Hornets,East,-10.22421821,-9.244680906,21,—,—,—,—
Blazers,West,-10.07837945,-10.29667583,21,—,—,—,—
