Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.165791797,7.322041992,63.6666,>99.9,64.74,45.9,33.38
Thunder,West,8.485968899,3.533980352,57.781,>99.9,35.32,17.92,7.5
T-Wolves,West,7.403306976,3.563305204,58.3342,>99.9,33.82,18.94,7.16
Cavaliers,East,6.534738248,4.709187996,54.6454,>99.9,46.8,21.56,12.44
Pelicans,West,6.008151615,2.271244901,51.0114,99,19.26,8.64,2.76
Clippers,West,5.168620633,2.446924402,54.0152,>99.9,24.54,10.02,3.8
Bucks,East,4.019809766,2.379562386,49.8986,99.58,19.9,7.76,3.24
Knicks,East,3.831696236,3.250290491,49.6088,99.32,25.12,10.16,4.56
Suns,West,3.005702537,1.997753685,46.2286,78.54,14.04,5.58,1.68
76ers,East,2.420712212,3.757784955,46.7288,94.38,22.96,9.5,4.52
Nuggets,West,2.157422463,5.545157516,51.935,99.7,46.36,30.04,14.44
Pacers,East,1.597547741,-2.193732032,44.9516,83.46,2.52,0.32,0.06
Mavericks,West,0.912691069,-0.046452847,46.3754,75.66,6.98,1.94,0.46
Heat,East,0.879933614,1.231352576,44.6688,85.54,9.64,3,1.14
Magic,East,0.644018263,-0.44105418,46.2652,90.94,5.8,1.1,0.4
Lakers,West,0.543512743,1.822659908,42.59,37.74,6.24,2.26,0.72
Warriors,West,0.493956657,1.775671649,43.0736,39.84,5.86,2.28,0.78
Rockets,West,0.413131895,-5.282241511,37.8762,2.12,<0.1,<0.1,<0.1
Kings,West,0.143464642,0.559094048,45.1978,67.12,7.58,2.38,0.68
Bulls,East,-0.265861796,0.66268705,38.7658,29.26,2.02,0.56,0.2
Jazz,West,-2.555997368,-3.42870328,36.0866,0.3,<0.1,<0.1,<0.1
Raptors,East,-3.005186712,-1.175170694,31.1562,1.78,0.14,0.08,<0.1
Nets,East,-3.531858296,-2.008226368,32.3804,4.06,<0.1,<0.1,<0.1
Hawks,East,-3.716738331,-0.951428011,34.9232,11.68,0.32,0.06,<0.1
Grizzlies,West,-5.748925476,-2.0186005,30.0344,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.198057189,-5.624824665,16.7542,<0.1,<0.1,<0.1,<0.1
Spurs,West,-8.511628668,-10.12318736,17.7956,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.124057139,-8.985599972,15.1562,<0.1,<0.1,<0.1,<0.1
Blazers,West,-9.143248132,-7.968279407,22.1192,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.40133282,-8.293665611,19.976,<0.1,<0.1,<0.1,<0.1
