Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.08892782,9.463938744,100,100,100,100,88.5
Thunder,West,7.721522189,5.953517579,100,100,—,—,—
T-Wolves,West,6.323557516,5.606590084,100,100,100,—,—
Nuggets,West,4.528852173,4.952982424,100,100,—,—,—
Mavericks,West,6.45493093,3.669871361,100,100,100,100,11.5
Pelicans,West,4.012502903,2.13229218,100,—,—,—,—
Lakers,West,1.991539035,2.098913537,100,—,—,—,—
Heat,East,1.617137747,2.004615825,100,—,—,—,—
76ers,East,-0.941285174,1.989788732,100,—,—,—,—
Pacers,East,4.106708688,1.82124602,100,100,100,—,—
Bucks,East,1.327928246,1.671326018,100,—,—,—,—
Suns,West,4.843650482,1.59054447,100,—,—,—,—
Warriors,West,2.620884589,1.457236479,—,—,—,—,—
Knicks,East,1.562019057,1.418534442,100,100,—,—,—
Cavaliers,East,1.242320103,0.813617103,100,100,—,—,—
Magic,East,1.950621997,0.780435299,100,—,—,—,—
Kings,West,2.949739987,0.679974298,—,—,—,—,—
Clippers,West,0.8855686,0.591892746,100,—,—,—,—
Bulls,East,-0.816706813,-0.498903734,—,—,—,—,—
Rockets,West,0.039211917,-2.106582933,—,—,—,—,—
Hawks,East,-3.858869294,-2.522021785,—,—,—,—,—
Nets,East,-4.070000013,-3.849057242,—,—,—,—,—
Raptors,East,-9.253632235,-5.206484113,—,—,—,—,—
Grizzlies,West,-8.603884945,-5.767497871,—,—,—,—,—
Jazz,West,-6.14359853,-5.807780527,—,—,—,—,—
Spurs,West,-2.891886774,-7.607458004,—,—,—,—,—
Wizards,East,-8.344604459,-8.427243744,—,—,—,—,—
Pistons,East,-7.629797263,-9.568994455,—,—,—,—,—
Hornets,East,-10.86915269,-9.598554815,—,—,—,—,—
Blazers,West,-9.549969576,-10.62096556,—,—,—,—,—
