Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.44529811,8.958692092,100,100,89.25,75.1,50.8,Boston Celtics,bos,1,0.508
T-Wolves,West,7.489399809,6.507190718,100,100,86.1,46.85,20.7,Minnesota Timberwolves,min,1,0.207
Thunder,West,7.983846284,6.404839503,100,100,76.35,40.5,18.5,Oklahoma City Thunder,okc,1,0.185
Nuggets,West,4.508423056,5.688192494,100,100,13.9,7.3,2.45,Denver Nuggets,den,1,0.0245
76ers,East,-0.693586948,2.720036833,100,—,—,—,0,Philadelphia 76ers,phi,0,0
Lakers,West,2.497966702,2.421888116,100,—,—,—,0,Los Angeles Lakers,lal,0,0
Pelicans,West,4.323453124,2.306997366,100,—,—,—,0,New Orleans Pelicans,no,0,0
Knicks,East,2.605094618,2.226924799,100,100,72.05,16.05,4.45,New York Knicks,ny,1,0.044500000000000005
Mavericks,West,4.29798495,2.000608708,100,100,23.65,5.35,0.9,Dallas Mavericks,dal,1,0.009000000000000001
Suns,West,5.593800181,1.92832514,100,—,—,—,0,Phoenix Suns,phx,0,0
Bucks,East,2.152317501,1.619857606,100,—,—,—,0,Milwaukee Bucks,mil,0,0
Warriors,West,2.515577257,1.600981018,—,—,—,—,0,Golden State Warriors,gs,0,0
Heat,East,1.384658125,1.351854534,100,—,—,—,0,Miami Heat,mia,0,0
Cavaliers,East,1.514215316,1.214339951,100,100,10.75,4.3,1.1,Cleveland Cavaliers,cle,1,0.011000000000000001
Magic,East,1.829651225,1.027746177,100,—,—,—,0,Orlando Magic,orl,0,0
Pacers,East,2.769804108,0.857980718,100,100,27.95,4.55,1.1,Indiana Pacers,ind,1,0.011000000000000001
Kings,West,3.202413502,0.839282484,—,—,—,—,0,Sacramento Kings,sac,0,0
Clippers,West,1.215081611,0.652221949,100,—,—,—,0,LA Clippers,lac,0,0
Bulls,East,-0.737280248,-0.279599563,—,—,—,—,0,Chicago Bulls,chi,0,0
Rockets,West,-0.188605392,-1.939934365,—,—,—,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.996545065,-2.14410101,—,—,—,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.939181083,-3.707750104,—,—,—,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.241193149,-4.857327698,—,—,—,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.397053128,-5.398870982,—,—,—,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-5.661590749,-5.5575406,—,—,—,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.720037094,-7.360898611,—,—,—,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.116691464,-8.115147328,—,—,—,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.449871692,-9.141073059,—,—,—,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.5078043,-9.287262768,—,—,—,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.503986428,-10.24627459,—,—,—,—,0,Portland Trail Blazers,por,0,0
