Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.36506656,8.395877875,64,71.95,58.9,49.3,32.35
Nuggets,West,4.792466924,6.559367374,57,92.75,55.2,34.25,18.8
Thunder,West,7.822445583,5.479370619,57,86.75,64.95,32.95,16.7
T-Wolves,West,7.247913451,5.441590964,56,89,38.65,20.85,11.05
Heat,East,2.396785099,3.647385142,46,28.05,14.55,8.6,3.1
Pelicans,West,5.044604063,2.979663925,49,13.25,7.9,2.25,0.8
Knicks,East,3.878345574,2.948108853,50,80.2,49,15.9,5.85
76ers,East,-0.829408982,2.754303818,47,19.8,10.45,2.85,0.95
Cavaliers,East,4.006627233,2.717846186,48,89.85,24.85,12.15,4.05
Lakers,West,1.748340697,2.319003524,47,7.25,2.6,0.8,0.1
Suns,West,4.184113725,2.180710246,49,11,3.55,1.3,0.6
Bucks,East,1.438261718,1.942143745,49,55.85,24.35,7.15,2.45
Warriors,West,2.589452262,1.728329227,46,—,—,—,—
Clippers,West,2.05983199,1.547893199,51,51.2,15.25,4.3,0.95
Kings,West,2.178832356,0.958432795,46,—,—,—,—
Mavericks,West,3.252886794,0.894256623,50,48.8,11.9,3.3,0.9
Pacers,East,2.528775061,0.533949124,47,44.15,16.2,3.4,1.15
Bulls,East,-0.245780106,-0.433110325,39,—,—,—,—
Magic,East,1.450213019,-0.698079754,47,10.15,1.7,0.65,0.2
Rockets,West,0.012657105,-1.909091023,41,—,—,—,—
Hawks,East,-3.837966934,-2.29707638,36,—,—,—,—
Nets,East,-3.569925008,-3.684698906,32,—,—,—,—
Raptors,East,-8.554144013,-4.815148166,25,—,—,—,—
Grizzlies,West,-7.549490304,-5.419501157,27,—,—,—,—
Jazz,West,-5.532797918,-5.463610063,31,—,—,—,—
Spurs,West,-2.657687632,-7.378415446,22,—,—,—,—
Wizards,East,-8.183784351,-8.017561451,15,—,—,—,—
Pistons,East,-7.191070129,-9.113546142,14,—,—,—,—
Hornets,East,-10.18987911,-9.376932662,21,—,—,—,—
Blazers,West,-10.5328801,-10.3003104,21,—,—,—,—
