Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.94356019,8.910694372,100,100,100,88.65,62.95
T-Wolves,West,7.282096284,6.755609916,100,100,48.05,32.65,12.8
Thunder,West,7.463270181,6.033268404,100,100,35.75,18.7,7.1
Nuggets,West,4.620922053,5.694631609,100,100,51.95,31.05,10.4
Heat,East,1.376653922,2.312638121,100,—,—,—,—
76ers,East,-0.909296967,2.295184974,100,—,—,—,—
Lakers,West,2.135751071,2.234891941,100,—,—,—,—
Mavericks,West,4.733195637,2.215688978,100,100,64.25,17.6,3.7
Pelicans,West,4.12114309,2.105930046,100,—,—,—,—
Suns,West,5.327690947,1.732926315,100,—,—,—,—
Warriors,West,2.51973649,1.527440486,—,—,—,—,—
Knicks,East,2.678816379,1.483407026,100,100,76.35,8.75,2.1
Bucks,East,1.602687836,1.284189419,100,—,—,—,—
Pacers,East,3.313129064,0.777603962,100,100,23.65,2.6,0.95
Magic,East,2.109027924,0.746075736,100,—,—,—,—
Cavaliers,East,1.52646361,0.724406646,100,100,—,—,—
Kings,West,3.09089575,0.653114597,—,—,—,—,—
Clippers,West,0.975156205,0.518198639,100,—,—,—,—
Bulls,East,-0.724071757,-0.430585909,—,—,—,—,—
Rockets,West,0.016179990000000002,-1.884154967,—,—,—,—,—
Hawks,East,-3.854259492,-2.410228788,—,—,—,—,—
Nets,East,-3.972606697,-3.938672377,—,—,—,—,—
Raptors,East,-9.267147737,-4.941413072,—,—,—,—,—
Grizzlies,West,-8.489504624,-5.464801715,—,—,—,—,—
Jazz,West,-6.183087489,-5.483181084,—,—,—,—,—
Spurs,West,-2.82417698,-7.262607106,—,—,—,—,—
Wizards,East,-8.332263636,-8.077547165,—,—,—,—,—
Pistons,East,-7.630384778,-9.104353905,—,—,—,—,—
Hornets,East,-10.60205535,-9.181330753,—,—,—,—,—
Blazers,West,-9.45887818,-10.15505697,—,—,—,—,—
