Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,8.919448359,7.034547942,60.2476,>99.9,63.16,45.4,33.22,Boston Celtics,bos,60,0.9990000000000001,0.3322
76ers,East,5.754741646,4.778002874,53.274,99.78,41.92,20.6,11.92,Philadelphia 76ers,phi,53,0.9978,0.1192
Nuggets,West,5.416230867,5.405496081,55.1664,>99.9,57.06,42.12,22.44,Denver Nuggets,den,55,0.9990000000000001,0.22440000000000002
Cavaliers,East,5.08295759,2.823694172,49.142,96.84,22.04,8.92,4.4,Cleveland Cavaliers,cle,49,0.9684,0.044000000000000004
Heat,East,4.133892584,2.550771785,50.0066,97.4,20.52,7.64,3.4,Miami Heat,mia,50,0.9740000000000001,0.034
Warriors,West,3.99942726,2.247429219,48.6902,97.44,31.04,14.76,4.8,Golden State Warriors,gs,49,0.9743999999999999,0.048
Knicks,East,3.790340991,2.851630451,47.5022,93.72,19.54,7.6,3.68,New York Knicks,ny,48,0.9372,0.0368
Bucks,East,3.181859512,2.165035255,47.5652,93.06,16.42,5.7,2.4,Milwaukee Bucks,mil,48,0.9306,0.024
Lakers,West,3.105690856,1.745263819,47.4914,92.76,25.72,11.46,3.84,Los Angeles Lakers,lal,47,0.9276000000000001,0.0384
Suns,West,2.652109549,0.852102224,44.932,85,17.46,7.02,1.84,Phoenix Suns,phx,45,0.85,0.0184
T-Wolves,West,2.228084361,0.015265614,48.7218,95.74,18.64,6.46,1.48,Minnesota Timberwolves,min,49,0.9573999999999999,0.0148
Bulls,East,1.617036532,-0.79780361,41.0672,50.3,2.78,0.42,0.18,Chicago Bulls,chi,41,0.503,0.0018
Raptors,East,1.482198025,-0.690437189,42.8032,64.08,4.16,0.96,0.28,Toronto Raptors,tor,43,0.6408,0.0028000000000000004
Clippers,West,1.374337171,-0.751925229,40.8916,53.32,6.14,2.12,0.44,LA Clippers,lac,41,0.5332,0.0044
Kings,West,1.04214589,0.149327873,42.5096,65.86,10.34,3.54,1.02,Sacramento Kings,sac,43,0.6586,0.0102
Thunder,West,0.65713281,-1.347584933,43.4082,72.62,7.36,2.06,0.38,Oklahoma City Thunder,okc,43,0.7262000000000001,0.0038
Hawks,East,0.536436463,1.064694645,42.0428,59.38,5.72,1.76,0.7,Atlanta Hawks,atl,42,0.5938,0.006999999999999999
Grizzlies,West,0.305571641,1.609171383,37.6886,30.84,6.68,3.04,1.06,Memphis Grizzlies,mem,38,0.3084,0.0106
Mavericks,West,-0.603535892,0.909520973,41.891,65.46,13.16,4.94,1.58,Dallas Mavericks,dal,42,0.6546,0.0158
Pelicans,West,-0.804629547,0.593796979,39.0414,38.88,6.18,2.44,0.56,New Orleans Pelicans,no,39,0.38880000000000003,0.005600000000000001
Nets,East,-1.113066437,1.504424404,38.4334,30.84,3.48,0.98,0.36,Brooklyn Nets,bkn,38,0.3084,0.0036
Magic,East,-1.917845976,-3.659265933,35.7778,10.06,0.2,<0.1,<0.1,Orlando Magic,orl,36,0.10060000000000001,0.001
Wizards,East,-3.97634234,-2.717470678,29.6544,0.8,<0.1,<0.1,<0.1,Washington Wizards,wsh,30,0.008,0.001
Pacers,East,-4.2597577190000004,-4.389247707,33.6098,3.7,<0.1,<0.1,<0.1,Indiana Pacers,ind,34,0.037000000000000005,0.001
Jazz,West,-4.305043103,-2.337915004,31.1536,1.98,0.22,<0.1,<0.1,Utah Jazz,uta,31,0.019799999999999998,0.001
Hornets,East,-6.285399,-5.379077361,25.4922,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,25,0.001,0.001
Rockets,West,-7.652255386,-7.98112946,27.6748,0.14,<0.1,<0.1,<0.1,Houston Rockets,hou,28,0.0014000000000000002,0.001
Pistons,East,-8.259552378,-7.459262327,21.2772,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,21,0.001,0.001
Blazers,West,-8.891981638,-6.679117508,22.5646,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,23,0.001,0.001
Spurs,West,-12.87346419,-9.807955472,16.2792,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
