Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.216044534,7.105139606,62.2812,>99.9,63.6,43.54,32.12,Boston Celtics,bos,62,0.9990000000000001,0.3212
76ers,East,6.9862568,5.545584024,56.7134,>99.9,52.22,27,16.76,Philadelphia 76ers,phi,57,0.9990000000000001,0.16760000000000003
Nuggets,West,6.346055055,5.458023663,55.335,99.82,56.98,42,21.14,Denver Nuggets,den,55,0.9982,0.2114
T-Wolves,West,4.336695751,1.862462928,55.6238,99.92,30.9,13.76,4.56,Minnesota Timberwolves,min,56,0.9992,0.045599999999999995
Bucks,East,3.94834004,2.010620165,52.429,99.66,17.92,6.2,2.92,Milwaukee Bucks,mil,52,0.9965999999999999,0.0292
Heat,East,3.58035394,2.263724333,48.4648,96.48,15.84,5.18,2.38,Miami Heat,mia,48,0.9648,0.023799999999999998
Clippers,West,3.242444314,0.448302072,48.743,92.42,15.68,5.48,1.34,LA Clippers,lac,49,0.9242,0.0134
Warriors,West,3.221044675,1.387127025,46.5746,82.64,16.24,6.8,2.06,Golden State Warriors,gs,47,0.8264,0.0206
Thunder,West,3.170733548,1.157498042,51.314,97.54,21.38,8.84,2.52,Oklahoma City Thunder,okc,51,0.9754,0.0252
Pelicans,West,3.041145441,1.125294629,47.5816,86.64,17.56,7.38,1.68,New Orleans Pelicans,no,48,0.8664000000000001,0.0168
Cavaliers,East,2.721095498,3.191900418,47.343,94.48,19.34,7.82,3.6,Cleveland Cavaliers,cle,47,0.9448000000000001,0.036000000000000004
Knicks,East,2.588485275,2.949568815,47.4768,94.82,17.22,6.88,3.12,New York Knicks,ny,47,0.9481999999999999,0.031200000000000002
Lakers,West,2.469746505,1.634784856,45.036,71.12,16.46,6.86,2.18,Los Angeles Lakers,lal,45,0.7112,0.0218
Suns,West,1.255349489,0.90224529,43.0372,49.96,8.86,3.38,0.96,Phoenix Suns,phx,43,0.4996,0.0096
Kings,West,0.425478971,0.841918008,44.5156,64.5,10.72,4.14,1.16,Sacramento Kings,sac,45,0.645,0.0116
Bulls,East,0.36350377,0.906940632,40.1076,38.72,3.46,1,0.46,Chicago Bulls,chi,40,0.3872,0.0046
Nets,East,-0.220857391,1.010497163,40.7664,46.76,4.3,1.08,0.4,Brooklyn Nets,bkn,41,0.46759999999999996,0.004
Hawks,East,-0.368092376,0.487136163,39.2656,28.42,2.28,0.5,0.22,Atlanta Hawks,atl,39,0.2842,0.0022
Magic,East,-0.467518132,-1.594789812,43.5932,66.44,2.94,0.68,0.18,Orlando Magic,orl,44,0.6644,0.0018
Mavericks,West,-0.524533032,-0.342031083,42.9252,44.68,5.1,1.36,0.2,Dallas Mavericks,dal,43,0.4468,0.002
Raptors,East,-0.863532291,-0.681272948,37.0882,11.66,0.56,0.06,<0.1,Toronto Raptors,tor,37,0.1166,0.001
Pacers,East,-1.601125702,-3.62114489,38.8288,22.56,0.32,0.06,<0.1,Indiana Pacers,ind,39,0.2256,0.001
Rockets,West,-2.299769351,-6.365332002,38.8936,10.66,0.12,<0.1,<0.1,Houston Rockets,hou,39,0.1066,0.001
Grizzlies,West,-2.759810259,-0.320070732,30.6248,0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,31,0.001,0.001
Jazz,West,-6.500696162,-3.263286353,27.4364,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,27,0.001,0.001
Wizards,East,-7.054748438,-3.72760777,21.9302,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,22,0.001,0.001
Hornets,East,-7.701335308,-7.135675557,23.4726,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,23,0.001,0.001
Blazers,West,-10.00519627,-5.669965238,20.4852,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,20,0.001,0.001
Pistons,East,-10.5264691,-9.103911169,15.2726,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Spurs,West,-11.1321823,-11.00117524,16.8406,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,17,0.001,0.001
