Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Thunder,West,9.182811615,3.827185519,58.327,>99.9,36.4,19.26,8.02
Celtics,East,9.018410019,7.332651506,63.639,>99.9,65.8,47.9,33.94
T-Wolves,West,7.172162201,3.566866694,57.5256,>99.9,34.8,18,6.78
Cavaliers,East,5.991612185,4.563769241,53.8088,>99.9,44.54,19.16,10.64
Pelicans,West,5.819087757,2.276963503,50.158,98.38,18.32,7.98,2.54
Clippers,West,5.396247056,2.3757183,54.4766,>99.9,25.42,9.88,3.6
Bucks,East,3.920733939,2.41725636,50.409,99.58,22.28,7.42,3.2
Knicks,East,3.642394433,3.240932653,49.5036,99.12,23.8,9.76,4.6
Suns,West,2.601171445,2.021201892,45.4134,67.9,11.6,4.68,1.4
Nuggets,West,2.097219531,5.648991439,52.1368,99.6,45.54,30.92,16.12
76ers,East,2.096807115,3.771139362,46.9302,95.26,21.54,9.94,4.64
Lakers,West,1.956017209,1.849589484,43.8348,49.82,7.18,2.56,0.88
Mavericks,West,1.087750928,-0.053850811,46.5898,74.98,7.38,1.84,0.42
Heat,East,1.042243689,1.261018012,45.659,90.42,11.1,3.24,1.18
Pacers,East,0.890581836,-2.199306698,44.3404,76.82,2.7,0.26,0.06
Magic,East,0.793601334,-0.532407239,46.4892,90.94,6.02,1.62,0.36
Warriors,West,0.646587985,1.776303546,43.3208,39.28,6.26,2.52,0.88
Kings,West,0.449111935,0.5681784,45.3618,67.52,7.06,2.32,0.46
Rockets,West,0.265948012,-5.249657259,38.2496,2.36,<0.1,<0.1,<0.1
Bulls,East,-0.189193319,0.633047672,38.912,30.6,1.86,0.6,0.26
Jazz,West,-2.611359924,-3.345747318,35.9868,0.18,<0.1,<0.1,<0.1
Raptors,East,-3.119356233,-1.072175768,31.6122,2.82,<0.1,<0.1,<0.1
Nets,East,-3.44172848,-2.087904168,32.5054,4.9,0.06,<0.1,<0.1
Hawks,East,-4.074243844,-0.96293821,34.14,9.54,0.26,0.08,<0.1
Grizzlies,West,-5.581583834,-2.117568511,29.8554,<0.1,<0.1,<0.1,<0.1
Spurs,West,-8.095080258,-10.02141402,17.8196,<0.1,<0.1,<0.1,<0.1
Wizards,East,-8.660963444,-5.872159525,16.345,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.950555756,-8.994314151,15.2272,<0.1,<0.1,<0.1,<0.1
Blazers,West,-9.416658307,-8.173830442,21.7104,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.55597987,-8.238891256,19.7126,<0.1,<0.1,<0.1,<0.1
