Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,8.982631104,7.160812962,62.2744,>99.9,60.88,43.6,31.08
Thunder,West,8.005992583,3.218046304,57.8558,>99.9,35.36,17.64,6.74
T-Wolves,West,6.548400432,2.796615548,56.6366,>99.9,31.16,14.92,5.32
Clippers,West,6.426787624,2.478889583,55.3732,>99.9,28.64,12.84,4.58
Knicks,East,4.68760461,3.759742874,51.8384,99.92,30.52,12.12,6.24
76ers,East,4.389998441,4.480600274,50.7956,99.62,32.58,16.56,8.92
Cavaliers,East,4.306785421,4.386643287,52.7744,>99.9,36.94,17.34,9.34
Pelicans,West,4.253437364,1.583374613,48.4448,96.54,15.62,6,1.86
Nuggets,West,3.94923386,5.632833789,54.1586,>99.9,52.64,35.6,17.94
Bucks,East,3.354522033,2.335181461,51.5654,99.88,21.14,6.74,2.82
Lakers,West,2.054893233,1.531616241,43.3986,64.8,10.52,3.94,1.04
Suns,West,1.585355812,1.307718196,44.4816,73.8,10.4,3.9,1.08
Magic,East,1.243055828,-0.50208884,45.451,90.82,6.48,1.08,0.38
Rockets,West,1.217609531,-5.239964221,41.0526,25.7,0.2,<0.1,<0.1
Warriors,West,0.492021214,1.014852366,39.9196,22.26,2.52,0.7,0.3
Pacers,East,0.299295119,-2.603222688,43.2594,76.88,2.36,0.22,<0.1
Kings,West,0.157548528,0.652503529,45.4404,81.92,10.62,3.8,1.28
Heat,East,-0.700387645,0.599725426,42.0644,75.24,6.52,1.6,0.64
Mavericks,West,-1.016313605,-0.923366542,41.4128,32.08,2.26,0.66,0.12
Bulls,East,-1.392376013,0.665668928,37.3014,25.22,1.44,0.5,0.2
Nets,East,-1.409036209,-0.831393331,36.0566,17.38,0.64,0.14,0.06
Raptors,East,-1.94842718,-0.682997737,32.597,2.96,0.1,<0.1,<0.1
Jazz,West,-2.705802251,-2.964255415,37.051,2.92,0.06,<0.1,<0.1
Hawks,East,-2.896965217,-0.79645302,35.8736,12.1,0.4,0.1,<0.1
Grizzlies,West,-5.877282191,-1.224956523,29.8322,<0.1,<0.1,<0.1,<0.1
Wizards,East,-7.914720479,-5.065576694,18.412,<0.1,<0.1,<0.1,<0.1
Spurs,West,-8.176073734,-9.856683119,18.4072,<0.1,<0.1,<0.1,<0.1
Blazers,West,-8.74728543,-7.100197661,23.5866,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.974898832,-8.970639827,14.8828,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.87302597,-8.38227064,17.802,<0.1,<0.1,<0.1,<0.1
