Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.84176105,8.719541119,64,87.9,73,60.15,42.85
Nuggets,West,4.871384329,6.525711325,57,91.8,56.85,39.05,18.85
T-Wolves,West,7.398663459,5.236082081,56,79.05,34.25,20.1,9.3
Thunder,West,7.042559173,4.660066299,57,71.7,48.45,21.85,9
Pelicans,West,5.428702269,3.737002651,49,28.3,16.7,6.45,2.25
Heat,East,1.760536121,3.578399697,46,12.1,6.05,3.45,1.4
Knicks,East,3.814881954,2.881470447,50,81.25,45.7,13.25,5.2
76ers,East,-1.846803047,2.767675981,47,18.75,10.25,3,1.2
Cavaliers,East,3.946166241,2.710446493,48,90.25,19.85,10,3.55
Bucks,East,1.906790465,2.423642887,49,79.05,37.05,9.1,2.95
Lakers,West,1.930720101,2.368529602,47,8.2,3.05,1.35,0.45
Suns,West,4.47698731,2.313088362,49,20.95,5.85,2.35,0.45
Clippers,West,2.887943096,1.812758603,51,71.25,26.1,7.25,1.85
Warriors,West,2.594247911,1.769524076,46,—,—,—,—
Kings,West,2.331625192,1.026274454,46,—,—,—,—
Mavericks,West,2.921993399,0.723606916,50,28.75,8.75,1.6,0.5
Pacers,East,2.631653798,-0.064262701,47,20.95,7,0.65,0.1
Bulls,East,-0.232468348,-0.456022836,39,—,—,—,—
Magic,East,1.395645408,-0.689298127,47,9.75,1.1,0.4,0.1
Rockets,West,-0.293946469,-1.896755732,41,—,—,—,—
Hawks,East,-4.063039034,-2.023589788,36,—,—,—,—
Nets,East,-3.454878564,-3.719293627,32,—,—,—,—
Raptors,East,-8.56969481,-4.811386725,25,—,—,—,—
Grizzlies,West,-7.468223799,-5.405550264,27,—,—,—,—
Jazz,West,-5.315457905,-5.461009513,31,—,—,—,—
Spurs,West,-2.576216433,-7.373506204,22,—,—,—,—
Wizards,East,-8.099873406,-7.915926163,15,—,—,—,—
Pistons,East,-7.16655674,-9.126620795,14,—,—,—,—
Hornets,East,-10.15750016,-9.381383488,21,—,—,—,—
Blazers,West,-10.3497892,-10.285577,21,—,—,—,—
