Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.532665171,7.174330301,63.2704,>99.9,64.26,44.98,32.34
T-Wolves,West,6.58540722,2.771475555,58.8782,>99.9,35.14,16.4,5.94
Thunder,West,6.368057323,2.664081872,56.1182,>99.9,31.84,15.14,5.56
76ers,East,6.199388166,5.175946922,54.9158,>99.9,48.32,23.82,14.46
Nuggets,West,5.69948139,5.733330876,54.4666,>99.9,55.24,38.76,19.68
Pelicans,West,5.19059988,2.211917596,50.727,99.64,25.64,10.66,3.88
Clippers,West,3.964405718,1.168036148,51.4018,99.72,19.42,7.2,2.08
Cavaliers,East,3.080343158,3.612759472,49.127,97.86,24.76,10.34,4.54
Heat,East,2.805498445,2.248478055,47.8228,95.84,15.14,5.06,2.04
Knicks,East,2.765716724,3.367540448,48.1056,97.18,20.44,7.92,3.66
Bucks,East,2.737184056,2.183272938,50.8602,99.36,18.54,6.2,2.6
Suns,West,1.011262939,0.649930417,42.6522,60.5,8.38,3.2,0.82
Magic,East,0.626846938,-1.307617772,44.8544,79.4,3.84,0.64,0.12
Mavericks,West,0.263874587,-0.337008813,43.8982,73.56,7.26,2.26,0.4
Lakers,West,0.108977802,1.525202819,40.985,45.92,7.38,2.96,0.62
Warriors,West,0.088564226,0.520179114,39.8166,29.04,3.22,1.16,0.46
Raptors,East,-0.278401808,-0.522402152,36.2288,12.34,0.52,0.14,<0.1
Pacers,East,-0.342963885,-2.659352958,44.0792,72.12,1.6,0.2,<0.1
Rockets,West,-0.519110834,-5.870031146,40.1334,26.14,0.26,<0.1,<0.1
Bulls,East,-0.895012498,0.405772326,39.0722,31.16,2.04,0.56,0.14
Kings,West,-0.896063633,0.270742825,41.8216,50.76,5.82,2.16,0.6
Hawks,East,-1.913166059,-0.729333889,35.7958,9.28,0.32,0.12,<0.1
Jazz,West,-2.092719463,-2.73632991,38.9158,14.56,0.38,0.06,<0.1
Nets,East,-2.477072372,-0.607075851,33.9686,5.48,0.22,<0.1,<0.1
Grizzlies,West,-4.019720369,-0.486492476,31.7366,0.18,<0.1,<0.1,<0.1
Wizards,East,-7.675828616,-4.452635138,19.4614,<0.1,<0.1,<0.1,<0.1
Spurs,West,-9.160014359,-10.35449234,17.7332,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.692340705,-8.935692901,14.4262,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.11917995,-7.895792205,19.0012,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.85947191,-7.460806958,19.726,<0.1,<0.1,<0.1,<0.1
