Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.62820167,8.882311446,100,100,91.25,77.8,54.35
Thunder,West,7.658808601,6.476798824,100,100,50.35,28.7,12.85
Nuggets,West,5.086657461,6.075731464,100,100,31.45,18.3,7.45
T-Wolves,West,6.868896657,5.859361266,100,100,68.55,39.45,16.05
76ers,East,-0.707298915,2.685230296,100,—,—,—,—
Lakers,West,2.39216584,2.383841202,100,—,—,—,—
Pelicans,West,4.215092207,2.265490379,100,—,—,—,—
Knicks,East,2.835525664,2.259201838,100,100,74.3,15.2,4.45
Suns,West,5.428233894,1.872002355,100,—,—,—,—
Mavericks,West,4.265799768,1.867735631,100,100,49.65,13.55,3.25
Bucks,East,1.518578747,1.547289183,100,—,—,—,—
Warriors,West,2.478114524,1.534814693,—,—,—,—,—
Heat,East,1.437323927,1.442531315,100,—,—,—,—
Cavaliers,East,1.487039066,1.267507227,100,100,8.75,4,1.1
Magic,East,2.127617332,0.907275997,100,—,—,—,—
Kings,West,3.156693458,0.746319113,—,—,—,—,—
Pacers,East,2.870683261,0.660291468,100,100,25.7,3,0.5
Clippers,West,1.05957415,0.552053009,100,—,—,—,—
Bulls,East,-0.73372064,-0.331870412,—,—,—,—,—
Rockets,West,0.014298344,-1.977766111,—,—,—,—,—
Hawks,East,-3.826149245,-2.230951995,—,—,—,—,—
Nets,East,-3.951721999,-3.83186596,—,—,—,—,—
Raptors,East,-9.340443045,-4.910886785,—,—,—,—,—
Grizzlies,West,-8.408498747,-5.474343281,—,—,—,—,—
Jazz,West,-6.051077486,-5.543952033,—,—,—,—,—
Spurs,West,-2.761200501,-7.374153112,—,—,—,—,—
Wizards,East,-8.128659367,-8.149755388,—,—,—,—,—
Pistons,East,-7.507662822,-9.181939008,—,—,—,—,—
Hornets,East,-10.54296929,-9.331602554,—,—,—,—,—
Blazers,West,-9.138469349,-10.28762352,—,—,—,—,—
