Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.450032509,7.250976121,62.5528,>99.9,62.72,45.6,34.42
76ers,East,5.781125055,5.033710902,54.1382,99.8,46.96,23.2,14.76
Nuggets,West,5.136100447,5.070223884,53.7636,99.56,54.78,39.96,19.28
Knicks,East,3.753662198,2.978225306,49.6506,97.34,21.5,8.22,4.22
Cavaliers,East,3.736417313,2.949355143,48.2362,94.44,19.6,7.82,3.84
Bucks,East,3.66857054,2.207034218,50.9108,98.62,19.14,6.64,3.26
Warriors,West,2.84979615,1.130750249,45.9272,79.8,17.5,7.4,1.98
Thunder,West,2.837065948,0.188842766,50.5702,96.6,17.72,6.84,1.48
Heat,East,2.815833357,2.372725115,47.1506,91.2,15.8,5.38,2.7
T-Wolves,West,2.712980031,1.00863647,52.3152,98.88,25.64,10.94,2.98
Lakers,West,2.683801004,1.714030391,46.8934,85.78,20.4,9.48,2.94
Suns,West,2.629671291,0.983768368,47.891,89.76,18.72,7.5,1.98
Pelicans,West,2.37787551,1.119851241,46.0178,80,17.62,7.6,2.18
Kings,West,1.229141334,0.625490025,44.9604,72.72,13.56,5.04,1.24
Clippers,West,0.872138467,-0.293694328,41.6392,41.46,5.98,2.04,0.46
Raptors,East,0.401783845,-0.517626417,40.8418,40.76,2.2,0.38,0.12
Hawks,East,0.21124254,0.598131379,40.997,43.42,4.2,1.08,0.56
Bulls,East,0.106926609,-0.398380156,38.2516,21.5,1.3,0.18,0.1
Magic,East,-0.317886066,-2.217846287,44.0526,67.66,2.9,0.48,0.28
Grizzlies,West,-0.514930343,0.814493063,35.8162,7.58,1.06,0.44,0.12
Mavericks,West,-0.670390664,0.195144659,42.2026,47.1,6.98,2.76,0.68
Nets,East,-1.029188684,1.267868882,39.8238,36.48,3.6,1.02,0.42
Pacers,East,-2.812946684,-4.153174916,36.2078,8.72,0.08,<0.1,<0.1
Rockets,West,-4.814288356,-7.136650996,32.958,0.68,<0.1,<0.1,<0.1
Jazz,West,-5.700939559,-2.899125149,28.3846,0.08,<0.1,<0.1,<0.1
Wizards,East,-5.855955467,-3.103003642,24.696,<0.1,<0.1,<0.1,<0.1
Hornets,East,-6.27668426,-5.946979887,26.5966,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.01349771,-8.047942925,18.7174,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.11372678,-6.325582394,21.476,<0.1,<0.1,<0.1,<0.1
Spurs,West,-11.72430351,-10.207692400000001,16.3608,<0.1,<0.1,<0.1,<0.1
