Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,13.22322694,8.781214632,100,100,100,100,95.55
Thunder,West,8.119130037,6.094272581,100,100,—,—,—
T-Wolves,West,6.42955497,5.726496453,100,100,100,—,—
Nuggets,West,4.111091811,4.932213518,100,100,—,—,—
Mavericks,West,7.010537285,4.37332166,100,100,100,100,4.45
76ers,East,-0.882355915,2.152925921,100,—,—,—,—
Pelicans,West,3.59197098,2.151590814,100,—,—,—,—
Lakers,West,1.490044316,2.10136075,100,—,—,—,—
Heat,East,1.268220422,1.873365835,100,—,—,—,—
Pacers,East,3.750432185,1.735460848,100,100,100,—,—
Bucks,East,0.965398986,1.612662407,100,—,—,—,—
Suns,West,4.077678795,1.608458151,100,—,—,—,—
Warriors,West,2.77784654,1.437932192,—,—,—,—,—
Knicks,East,1.529160028,1.365095065,100,100,—,—,—
Magic,East,2.292322618,0.737875879,100,—,—,—,—
Clippers,West,0.744468768,0.722014742,100,—,—,—,—
Cavaliers,East,0.793481691,0.716093418,100,100,—,—,—
Kings,West,2.613519877,0.690183264,—,—,—,—,—
Bulls,East,-0.592157951,-0.527639127,—,—,—,—,—
Rockets,West,0.133764992,-2.111529033,—,—,—,—,—
Hawks,East,-3.782128026,-2.619423719,—,—,—,—,—
Nets,East,-3.837667399,-3.873443936,—,—,—,—,—
Raptors,East,-8.930525433,-5.260203435,—,—,—,—,—
Grizzlies,West,-7.980650107,-5.756190271,—,—,—,—,—
Jazz,West,-6.235843494,-5.814372533,—,—,—,—,—
Spurs,West,-2.856075889,-7.607116591,—,—,—,—,—
Wizards,East,-8.139219347,-8.488794689,—,—,—,—,—
Pistons,East,-7.542274077,-9.628191377,—,—,—,—,—
Hornets,East,-10.63848171,-9.778087608,—,—,—,—,—
Blazers,West,-9.58959007,-10.64550611,—,—,—,—,—
