Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,8.999014186,7.37288611,61.648,>99.9,64.56,47.76,35.56
76ers,East,6.079939051,4.734319497,54.2332,99.82,41.06,18.38,11.14
Cavaliers,East,5.403390243,3.083237945,50.5388,98.48,22.48,8.28,4.32
Nuggets,West,5.230132203,5.398509599,53.5272,99.8,57.52,42.74,21.44
Knicks,East,4.283840983,3.148957374,49.5946,97.8,21.7,8.9,5.06
Bucks,East,3.930571171,2.644873994,50.0304,97.78,18.56,6.56,3.48
Heat,East,3.751767518,2.6769012,49.0222,96.12,17.8,6.52,3.36
Warriors,West,3.743826139,1.754334617,47.0638,92.2,25.28,12.16,3.56
Suns,West,2.572566352,0.618350079,46.0698,87.4,18.12,6.86,1.76
Lakers,West,2.501284422,1.561758638,46.152,84.46,20.68,8.78,2.62
T-Wolves,West,2.180480449,0.313648876,48.7428,94.56,17.88,7.1,1.56
Thunder,West,2.112320438,-0.486853478,47.8358,94.16,14.06,4.54,0.84
Raptors,East,1.3638484,-0.407874519,41.6566,57.68,2.92,0.72,0.14
Kings,West,1.330640021,0.652733078,44.4214,75.46,15.56,6.02,1.46
Bulls,East,1.25359474,-1.092790313,39.4408,39.2,1.92,0.4,0.12
Clippers,West,0.949979166,-0.802677795,40.2066,41.44,5.66,1.78,0.36
Hawks,East,0.837017798,1.031067323,41.6318,59.68,5.98,1.58,0.66
Grizzlies,West,0.217536478,1.223412788,37.281,21.68,4.14,1.78,0.42
Pelicans,West,0.203279147,0.546995066,41.2638,50.54,9.36,3.54,0.84
Mavericks,West,-0.418487608,0.990541706,41.7204,56.9,11.68,4.7,0.92
Nets,East,-1.15439584,1.099484515,37.6468,26.52,2.72,0.88,0.38
Magic,East,-1.78020044,-3.300212574,37.9406,22.88,0.28,<0.1,<0.1
Pacers,East,-4.010845197,-4.353454619,33.479,3.74,<0.1,<0.1,<0.1
Jazz,West,-4.269563371,-2.323814221,30.4388,1.18,0.06,<0.1,<0.1
Wizards,East,-4.476578128,-2.977943722,27.9546,0.3,<0.1,<0.1,<0.1
Rockets,West,-6.727052265,-7.835414089,28.8488,0.22,<0.1,<0.1,<0.1
Hornets,East,-7.07778333,-5.816932737,23.5828,<0.1,<0.1,<0.1,<0.1
Pistons,East,-8.872145876,-7.613012333,19.8442,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.92685516,-7.383933429,18.6228,<0.1,<0.1,<0.1,<0.1
Spurs,West,-13.03040484,-9.863336284,15.5606,<0.1,<0.1,<0.1,<0.1
