Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,12.40825255,8.285977856,65.2856,>99.9,71.46,55.96,39.74
Thunder,West,7.910736007,4.204186672,57.5596,>99.9,36.48,18.7,7.52
Pelicans,West,7.621503895,3.716640908,50.8214,99.46,28.3,13.34,4.94
T-Wolves,West,6.089249189,4.044493018,56.5368,>99.9,34.84,17.6,7.4
Nuggets,West,5.305215007,6.062611457,57.568,>99.9,51.18,32.78,17.08
Cavaliers,East,4.691580503,3.924390866,50.6622,>99.9,31.96,12.84,5.78
Bucks,East,4.017055408,3.271339178,51.7708,>99.9,31.48,10.66,4.84
Clippers,West,3.448036111,1.929287383,50.5336,99.08,15.88,5.72,1.66
Knicks,East,3.402187899,3.21027874,49.2434,99.86,22.28,8.66,3.82
Suns,West,3.401212864,2.674981542,46.358,66.74,10.58,4.28,1.3
Pacers,East,2.476580742,-0.803299668,46.3404,94.48,5.8,1.06,0.16
Mavericks,West,1.988540095,0.631451158,48.7108,93.32,7.7,2.48,0.64
Warriors,West,1.752211671,1.99530321,43.3936,19.72,2.96,0.98,0.3
Magic,East,1.549871023,0.141645199,48.1874,98.98,8.02,2,0.68
Rockets,West,0.680135064,-2.753630152,41.354,3.64,0.12,<0.1,<0.1
Kings,West,0.481925817,0.341184924,46.576,72.68,5.26,1.48,0.24
Lakers,West,0.214653391,2.003251612,45.2274,45.36,6.7,2.62,0.74
Heat,East,-0.116767293,1.752223372,44.6846,85.18,11.86,3.46,1.24
Bulls,East,-0.288392885,-0.329865347,38.9162,20.48,0.6,0.16,0.06
76ers,East,-1.065381711,2.942203491,44.1052,84.58,16.22,5.1,1.84
Hawks,East,-2.34914792,-0.817383038,36.7412,16.38,0.32,0.1,<0.1
Jazz,West,-2.94875366,-4.686136919,32.6582,<0.1,<0.1,<0.1,<0.1
Nets,East,-4.813047182,-3.127431728,31.1168,0.1,<0.1,<0.1,<0.1
Spurs,West,-5.461834207,-9.241970558,19.2358,—,—,—,—
Raptors,East,-5.470045417,-2.826658817,26.4112,<0.1,<0.1,<0.1,<0.1
Grizzlies,West,-7.572414858,-4.271750239,27.1904,—,—,—,—
Pistons,East,-8.011973261,-8.882776519,15.3472,—,—,—,—
Wizards,East,-8.324052791,-7.126019874,17.2048,—,—,—,—
Blazers,West,-8.981205359,-9.295922931,21.5454,—,—,—,—
Hornets,East,-11.96002737,-9.204687371,18.714,—,—,—,—
