Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,12.85050932,8.294178448,66.2234,>99.9,70.52,55.52,40.66
Thunder,West,8.066879952,4.450895591,57.654,>99.9,39.22,20.04,8.28
Pelicans,West,7.267967889,3.564687703,51.004,99.42,25.08,11.22,4.08
T-Wolves,West,6.257847287,4.07439193,56.3336,>99.9,35.28,17.9,6.78
Cavaliers,East,5.380680917,4.163595524,51.317,>99.9,36.82,14.38,6.98
Clippers,West,5.039031566,2.275099807,52.3256,99.78,18.3,6.48,2.28
Nuggets,West,4.551952183,5.883952201,57.1018,>99.9,50.4,33.18,15.7
Bucks,East,4.032518325,3.136882743,51.8906,>99.9,30.44,10.1,4.68
Suns,West,3.361990584,2.793857834,46.991,80.24,12.72,5.16,1.62
Knicks,East,2.57427882,3.09823517,48.747,99.56,20.62,8.2,3.44
Pacers,East,2.196899616,-1.14908542,46.1466,93.58,5.3,0.94,0.2
Magic,East,1.737451388,0.184506741,48.2,99.04,7.94,2.22,0.58
Mavericks,West,1.339025419,0.098291961,47.6146,81.82,5.48,1.58,0.3
Warriors,West,1.265838101,1.801044404,43.086,20.44,2.44,0.8,0.14
Kings,West,0.990877942,0.587392402,46.8712,80.6,6.56,1.98,0.5
Rockets,West,0.627139737,-2.928083981,41.0628,4.52,0.12,<0.1,<0.1
Lakers,West,0.303939135,1.902825131,44.0826,33.18,4.4,1.64,0.48
Bulls,East,-0.035591302,-0.218316533,39.8958,24.16,0.8,0.28,<0.1
Heat,East,-0.420095358,1.968458483,44.5616,84.56,12.08,3.34,1.18
76ers,East,-0.470040744,2.917285341,43.8842,84.16,15.02,4.94,2.06
Hawks,East,-2.828621927,-1.055860246,35.7582,14.78,0.46,0.08,<0.1
Jazz,West,-2.9876086,-4.450759734,33.0612,<0.1,<0.1,<0.1,<0.1
Nets,East,-5.102149677,-3.258328495,30.5196,0.16,<0.1,<0.1,<0.1
Raptors,East,-5.476992678,-2.70817085,26.9972,<0.1,<0.1,<0.1,<0.1
Spurs,West,-5.503163776,-9.384766993,18.556,—,—,—,—
Grizzlies,West,-7.394186938,-4.039094399,27.4248,—,—,—,—
Pistons,East,-7.634611006,-8.786041476,15.8144,—,—,—,—
Wizards,East,-8.908603624,-7.230630126,16.262,—,—,—,—
Blazers,West,-8.919592931,-9.019817242,21.8038,—,—,—,—
Hornets,East,-11.69019262,-9.152429823,18.8094,—,—,—,—
