Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.468457366,7.249101317,63.6686,>99.9,63.84,45.96,32.34,Boston Celtics,bos,64,0.9990000000000001,0.3234
76ers,East,6.47820489,5.085032661,54.7666,>99.9,46.84,21.64,12.86,Philadelphia 76ers,phi,55,0.9990000000000001,0.1286
T-Wolves,West,5.981703433,2.326315523,58.0084,>99.9,33.94,15.52,5.9,Minnesota Timberwolves,min,58,0.9990000000000001,0.059000000000000004
Nuggets,West,5.867923765,5.805538872,55.2344,>99.9,59.54,42.54,22.84,Denver Nuggets,den,55,0.9990000000000001,0.2284
Pelicans,West,4.765575874,1.248071016,49.8754,96.6,21.12,8.08,2.7,New Orleans Pelicans,no,50,0.966,0.027000000000000003
Thunder,West,4.642349798,2.079745415,54.2518,99.9,27.32,12.68,3.94,Oklahoma City Thunder,okc,54,0.9990000000000001,0.0394
Clippers,West,3.410770748,0.780323314,50.1296,96.96,18.82,6.88,1.84,LA Clippers,lac,50,0.9695999999999999,0.0184
Knicks,East,2.869557643,3.338240561,48.1634,96.7,22.26,8.5,3.96,New York Knicks,ny,48,0.9670000000000001,0.039599999999999996
Cavaliers,East,2.719614633,3.348568545,47.3464,95.42,21.82,8.9,4.56,Cleveland Cavaliers,cle,47,0.9542,0.045599999999999995
Bucks,East,2.66601964,2.366005781,50.4258,99.04,20.22,7,2.62,Milwaukee Bucks,mil,50,0.9904000000000001,0.0262
Warriors,West,2.433459122,1.20595414,44.2286,65.02,10.16,3.76,1.02,Golden State Warriors,gs,44,0.6502,0.0102
Heat,East,1.977355641,2.358612866,46.5876,92.36,14.9,5.74,2.2,Miami Heat,mia,47,0.9236,0.022000000000000002
Lakers,West,1.125985755,1.409370555,41.0944,35.1,6.14,2.38,0.76,Los Angeles Lakers,lal,41,0.35100000000000003,0.0076
Suns,West,1.123345305,0.852448395,42.829,49.76,7.1,2.9,0.6,Phoenix Suns,phx,43,0.4976,0.006
Magic,East,0.513243376,-1.405370706,45.2854,82.94,3.92,0.66,<0.1,Orlando Magic,orl,45,0.8294,0.001
Raptors,East,0.378661154,-0.806081295,37.9774,17.84,0.78,0.24,0.08,Toronto Raptors,tor,38,0.1784,8e-4
Mavericks,West,0.090379408,-0.277380059,43.458,56.14,6.16,2,0.54,Dallas Mavericks,dal,43,0.5614,0.0054
Bulls,East,0.026186056,0.445516083,39.2224,29.94,2.36,0.66,0.22,Chicago Bulls,chi,39,0.2994,0.0022
Kings,West,0.022120472,0.558174424,44.2992,64,9.12,3.22,0.84,Sacramento Kings,sac,44,0.64,0.0084
Rockets,West,-0.035982655,-5.781143947,42.4478,36.24,0.58,<0.1,<0.1,Houston Rockets,hou,42,0.3624,0.001
Hawks,East,-0.679961336,-0.357050073,37.4976,15.96,0.82,0.26,0.08,Atlanta Hawks,atl,37,0.15960000000000002,8e-4
Pacers,East,-0.85505132,-2.484717705,41.9012,53.32,1.3,0.26,0.06,Indiana Pacers,ind,42,0.5332,6e-4
Nets,East,-1.518526818,-0.080479538,37.4084,16.52,0.94,0.18,<0.1,Brooklyn Nets,bkn,37,0.16519999999999999,0.001
Grizzlies,West,-4.004436542,-0.5908435,30.4704,0.06,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,30,6e-4,0.001
Jazz,West,-4.936815265,-3.370178919,32.737,0.22,<0.1,<0.1,<0.1,Utah Jazz,uta,33,0.0022,0.001
Hornets,East,-8.493788479,-7.380396734,22.0638,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,22,0.001,0.001
Wizards,East,-8.849394828,-4.408790926,18.86,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,19,0.001,0.001
Pistons,East,-9.721522801,-8.797258503,15.1966,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Spurs,West,-10.35328238,-11.29567559,16.362,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
Blazers,West,-11.47522873,-6.498015781,18.2028,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,18,0.001,0.001
