Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.490402,8.417142821,64,86.45,76.45,65,43.5,Boston Celtics,bos,64,1,0.435
Nuggets,West,4.734800468,6.276904327,57,94.55,51.65,28.6,14.65,Denver Nuggets,den,57,1,0.1465
Thunder,West,8.147213638,6.072776602,57,97.5,76.2,41.15,18.9,Oklahoma City Thunder,okc,57,1,0.18899999999999997
T-Wolves,West,7.453055305,5.571766398,56,100,46.6,24.5,11.3,Minnesota Timberwolves,min,56,1,0.113
Heat,East,1.890898523,3.518069362,46,13.55,8,5,2,Miami Heat,mia,46,1,0.02
76ers,East,-0.57726491,2.641123522,47,11.15,6.3,1.65,0.3,Philadelphia 76ers,phi,47,1,0.003
Knicks,East,3.171497313,2.587418468,50,88.85,54.15,13.1,4.05,New York Knicks,ny,50,1,0.0405
Pelicans,West,4.340569405,2.357331407,49,2.5,1.4,0.5,0.15,New Orleans Pelicans,no,49,1,0.0015
Lakers,West,2.00366654,2.355442435,47,5.45,1.75,0.65,0.05,Los Angeles Lakers,lal,47,1,5e-4
Suns,West,4.506139179,1.984120799,49,—,—,—,0,Phoenix Suns,phx,49,0,0
Bucks,East,1.550261965,1.734911903,49,17.45,7.2,1.8,0.45,Milwaukee Bucks,mil,49,1,0.0045000000000000005
Warriors,West,2.52117715,1.624487765,46,—,—,—,0,Golden State Warriors,gs,46,0,0
Clippers,West,1.92348003,1.473008914,51,57.1,13.35,3.1,1.3,LA Clippers,lac,51,1,0.013000000000000001
Cavaliers,East,2.445560843,1.309879558,48,54,8.95,4.3,1,Cleveland Cavaliers,cle,48,1,0.01
Pacers,East,2.926670691,0.858940722,47,82.55,32.35,5.8,1.3,Indiana Pacers,ind,47,1,0.013000000000000001
Mavericks,West,2.860030364,0.84951156,50,42.9,9.05,1.5,0.35,Dallas Mavericks,dal,50,1,0.0034999999999999996
Kings,West,2.787956304,0.847401368,46,—,—,—,0,Sacramento Kings,sac,46,0,0
Magic,East,2.633114706,0.840483804,47,46,6.6,3.35,0.7,Orlando Magic,orl,47,1,0.006999999999999999
Bulls,East,-0.352987169,-0.314483558,39,—,—,—,0,Chicago Bulls,chi,39,0,0
Rockets,West,-0.104678466,-1.960436318,41,—,—,—,0,Houston Rockets,hou,41,0,0
Hawks,East,-3.931244433,-2.370109951,36,—,—,—,0,Atlanta Hawks,atl,36,0,0
Nets,East,-3.675462829,-3.723773576,32,—,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.816883079,-4.853969528,25,—,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.895869882,-5.446568259,27,—,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-5.569557474,-5.507759405,31,—,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.705764142,-7.382723625,22,—,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-7.86006761,-8.098348252,15,—,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.364359804,-9.105021748,14,—,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.22421821,-9.244680906,21,—,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.07837945,-10.29667583,21,—,—,—,0,Portland Trail Blazers,por,21,0,0
