Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.76728035,8.780139113,100,100,100,87.95,59.3
T-Wolves,West,7.691101672,6.90025837,100,100,100,76.85,32.65
Thunder,West,7.185776444,5.988858687,100,100,—,—,—
Nuggets,West,5.014643312,5.54570658,100,100,—,—,—
Mavericks,West,5.273290368,2.43410215,100,100,100,23.15,5
Heat,East,1.462562849,2.314913903,100,—,—,—,—
76ers,East,-1.071887876,2.229836903,100,—,—,—,—
Lakers,West,2.233261376,2.218191545,100,—,—,—,—
Pelicans,West,4.211017462,2.124194067,100,—,—,—,—
Suns,West,5.361677254,1.632997005,100,—,—,—,—
Warriors,West,2.457335563,1.531946595,—,—,—,—,—
Pacers,East,3.855476007,1.521106599,100,100,100,12.05,3.05
Bucks,East,1.783346843,1.372659368,100,—,—,—,—
Knicks,East,1.734257006,0.748931945,100,100,—,—,—
Cavaliers,East,1.081980369,0.74820413,100,100,—,—,—
Magic,East,1.938046469,0.726750255,100,—,—,—,—
Kings,West,3.175031508,0.661401167,—,—,—,—,—
Clippers,West,1.120004701,0.527660625,100,—,—,—,—
Bulls,East,-0.844794881,-0.472130554,—,—,—,—,—
Rockets,West,-0.026143227,-1.866925771,—,—,—,—,—
Hawks,East,-3.859173241,-2.370019259,—,—,—,—,—
Nets,East,-3.996453574,-3.950473229,—,—,—,—,—
Raptors,East,-9.349064494,-4.998175241,—,—,—,—,—
Grizzlies,West,-8.588094003,-5.459337987,—,—,—,—,—
Jazz,West,-6.143435695,-5.515400814,—,—,—,—,—
Spurs,West,-2.819123485,-7.285782572,—,—,—,—,—
Wizards,East,-8.358567808,-8.121308133,—,—,—,—,—
Pistons,East,-7.641362093,-9.110570396,—,—,—,—,—
Hornets,East,-10.90229226,-9.218011357,—,—,—,—,—
Blazers,West,-9.433649262,-10.1892539,—,—,—,—,—
